Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Capital gains
2025-07-01,614.6559103723325,617.1191131155733,613.8182668389494,615.9423828125,70030100,0.0,0.0,0.0
2025-07-02,615.53347209637,618.7744866384667,614.9052090235124,618.734619140625,66510400,0.0,0.0,0.0
2025-07-03,620.7290596612153,624.5484875028751,620.7090954800537,623.611083984375,51065800,0.0,0.0,0.0
2025-07-07,621.6365725170731,622.3047639816969,616.1617605422166,618.9639892578125,74814500,0.0,0.0,0.0
2025-07-08,619.6320954349991,620.3900039601925,617.8071987595777,618.6249389648438,59024600,0.0,0.0,0.0
2025-07-09,621.0481832340878,622.9927431754923,619.1932795088373,622.3345947265625,66113300,0.0,0.0,0.0
2025-07-10,622.4742664500196,625.1368675729468,621.2875540464601,624.0897827148438,57529000,0.0,0.0,0.0
2025-07-11,621.0182411395347,623.1323749024951,619.8116254973129,621.8958129882812,63670200,0.0,0.0,0.0
2025-07-14,621.437057113524,623.4315275028133,620.0808318567448,623.08251953125,51898500,0.0,0.0,0.0
2025-07-15,625.7850521197855,626.1240780025647,620.340126016414,620.419921875,74317300,0.0,0.0,0.0
2025-07-16,622.0154871960257,623.0027403264891,616.3412163521633,622.494140625,88987500,0.0,0.0,0.0
2025-07-17,622.6736989062512,626.6626398066976,622.4542755061946,626.3035888671875,68885700,0.0,0.0,0.0
2025-07-18,627.5601250668279,627.7296380152247,624.7280110672211,625.8449096679688,65621600,0.0,0.0,0.0
2025-07-21,627.0316162109375,629.7939164140192,626.6028123652087,627.0316162109375,63375000,0.0,0.0,0.0
2025-07-22,627.3606646093982,627.9889276793821,624.4587368446605,627.121337890625,60046300,0.0,0.0,0.0
2025-07-23,629.8039240942028,632.4566040039062,627.9889485945137,632.4566040039062,70511000,0.0,0.0,0.0
2025-07-24,632.8454496264281,634.3912129187636,632.2371507469353,632.6659545898438,71307100,0.0,0.0,0.0
2025-07-25,633.3341702599237,635.8172763273444,633.0848614440556,635.3385620117188,56865400,0.0,0.0,0.0
2025-07-28,635.7175012309004,636.2759505305676,633.782862430909,635.1790161132812,54917100,0.0,0.0,0.0
2025-07-29,636.5850848856694,636.9042074633194,632.5862227401361,633.503662109375,60556300,0.0,0.0,0.0
2025-07-30,634.1617960302962,635.9169397338984,629.7939009526881,632.7058715820312,80418900,0.0,0.0,0.0
2025-07-31,637.6920593309911,638.0809348105399,629.0260827850975,630.3324584960938,103385200,0.0,0.0,0.0
2025-08-01,624.5683918435021,624.6083202058907,617.5777633723885,620.0010375976562,140103600,0.0,0.0,0.0
2025-08-04,623.9401331350132,629.4747763447384,623.8504160518278,629.4249267578125,73218000,0.0,0.0,0.0
2025-08-05,630.0432104487703,630.8609506236863,625.3063432085271,626.2337646484375,68051400,0.0,0.0,0.0
2025-08-06,627.310788901774,631.6886660273483,626.3933495625395,631.030517578125,64357500,0.0,0.0,0.0
2025-08-07,634.4809118212801,635.2188561282265,627.3706199993678,630.501953125,74205800,0.0,0.0,0.0
2025-08-08,632.3069659204185,635.8870671683993,631.9878433436463,635.4183349609375,64051600,0.0,0.0,0.0
2025-08-11,635.6975853928571,637.1834561323586,632.9052780831173,634.1618041992188,58742300,0.0,0.0,0.0
2025-08-12,636.5252873774225,641.0726778368414,635.0294344517399,640.9131469726562,64730800,0.0,0.0,0.0
2025-08-13,643.1269589799253,644.4034493171588,640.9031438473124,643.1070556640625,60092800,0.0,0.0,0.0
2025-08-14,641.0128079474052,643.8350006749072,640.5641007895744,643.1668701171875,59327500,0.0,0.0,0.0
2025-08-15,644.2040095711507,644.3037696191185,640.7436323612244,641.6610717773438,68592500,0.0,0.0,0.0
2025-08-18,641.0826373957427,642.2195001872421,640.40452473057,641.5214233398438,43804900,0.0,0.0,0.0
2025-08-19,641.341922870885,642.3291760201543,636.714736747966,638.0410766601562,69750700,0.0,0.0,0.0
2025-08-20,637.6322365737963,637.89146660832,631.2000571048222,636.3457641601562,88890300,0.0,0.0,0.0
2025-08-21,634.5208697964243,636.2061389257788,632.057667095043,633.7928466796875,54805800,0.0,0.0,0.0
2025-08-22,635.9967649167205,644.7125912923959,635.4881651988852,643.52587890625,84083200,0.0,0.0,0.0
2025-08-25,642.2593311060981,643.505875096025,640.5740011970607,640.6936645507812,51274300,0.0,0.0,0.0
2025-08-26,640.4245042856638,643.7253506035642,639.7962411945653,643.3762817382812,51581600,0.0,0.0,0.0
2025-08-27,642.7879219740594,645.580168455503,642.6383123424215,644.8422241210938,48341100,0.0,0.0,0.0
2025-08-28,645.4505066457858,647.6843037743214,643.5557962693775,647.1258544921875,61519500,0.0,0.0,0.0
2025-08-29,645.6798938838932,646.04892693251,641.361908969664,643.2666015625,74522200,0.0,0.0,0.0
2025-09-02,635.7374558444352,638.7191794281234,633.1645719217177,638.4998168945312,81983500,0.0,0.0,0.0
2025-09-03,640.8931560649971,642.4289372924937,638.6893051342267,641.960205078125,70820900,0.0,0.0,0.0
2025-09-04,642.6382997027142,647.3552636551144,641.7308424389964,647.3253173828125,65219200,0.0,0.0,0.0
2025-09-05,649.6787679935875,650.4067910780432,641.551337641252,645.4505004882812,85178900,0.0,0.0,0.0
2025-09-08,646.826691508285,648.0433501046099,645.4405199703039,647.0361328125,63133100,0.0,0.0,0.0
