date,open,high,low,close,volume
2024-01-03,6420.0,6420.0,6320.0,6350.0,55759
2024-01-04,6350.0,6400.0,6280.0,6330.0,27024
2024-01-05,6280.0,6390.0,6210.0,6320.0,19874
2024-01-08,6150.0,6370.0,6150.0,6250.0,28598
2024-01-09,6260.0,6310.0,6220.0,6290.0,18212
2024-01-10,6290.0,6300.0,6200.0,6230.0,26912
2024-01-11,6290.0,6300.0,6180.0,6240.0,19654
2024-01-12,6180.0,6250.0,6130.0,6200.0,29254
2024-01-15,6200.0,6220.0,6100.0,6140.0,43280
2024-01-16,6110.0,6200.0,6010.0,6070.0,40642
2024-01-17,6070.0,6090.0,5810.0,5850.0,65202
2024-01-18,5810.0,5970.0,5810.0,5920.0,29560
2024-01-19,5870.0,6000.0,5860.0,5890.0,39185
2024-01-22,5910.0,5950.0,5720.0,5830.0,43890
2024-01-23,5750.0,5830.0,5740.0,5810.0,32018
2024-01-24,5760.0,5870.0,5680.0,5750.0,27037
2024-01-25,5630.0,5750.0,5590.0,5750.0,56239
2024-01-26,5750.0,5850.0,5700.0,5840.0,26731
2024-01-29,5800.0,5850.0,5720.0,5800.0,32785
2024-01-30,5760.0,5950.0,5760.0,5900.0,52577
2024-01-31,5900.0,5900.0,5720.0,5770.0,48896
2024-02-01,5710.0,6850.0,5670.0,6100.0,1026339
2024-02-02,6120.0,6500.0,6080.0,6320.0,220868
2024-02-05,6440.0,6500.0,6270.0,6370.0,124386
2024-02-06,6320.0,6950.0,6120.0,6220.0,272077
2024-02-07,6210.0,6380.0,6190.0,6260.0,48272
2024-02-08,6260.0,6400.0,6200.0,6310.0,58110
2024-02-13,6240.0,6390.0,6230.0,6310.0,43848
2024-02-14,6220.0,6420.0,6210.0,6330.0,40952
2024-02-15,6400.0,6470.0,6290.0,6470.0,46479
2024-02-16,6470.0,6520.0,6400.0,6480.0,32797
2024-02-19,6480.0,6580.0,6440.0,6530.0,47231
2024-02-20,6530.0,6600.0,6470.0,6530.0,53400
2024-02-21,6620.0,6840.0,6560.0,6620.0,126860
2024-02-22,6640.0,6780.0,6630.0,6690.0,40684
2024-02-23,6700.0,6750.0,6420.0,6420.0,58564
2024-02-26,6430.0,6570.0,6370.0,6400.0,41613
2024-02-27,6380.0,6480.0,6210.0,6270.0,36732
2024-02-28,6280.0,6320.0,6170.0,6280.0,17459
2024-02-29,6260.0,6300.0,6130.0,6190.0,36972
2024-03-04,6290.0,6370.0,6190.0,6370.0,31171
2024-03-05,6270.0,6340.0,6130.0,6230.0,35726
2024-03-06,6230.0,6320.0,6220.0,6310.0,18178
2024-03-07,6250.0,6320.0,6100.0,6160.0,36019
2024-03-08,6130.0,6270.0,6130.0,6230.0,12077
2024-03-11,6150.0,6310.0,6140.0,6240.0,15563
