date,open,high,low,close,volume
2024-04-24,16150.0,16840.0,16150.0,16400.0,697362
2024-04-25,16170.0,16570.0,16050.0,16050.0,422598
2024-04-26,16320.0,16800.0,16200.0,16530.0,421992
2024-04-29,16880.0,17350.0,16670.0,17180.0,803998
2024-04-30,17010.0,17280.0,16840.0,16860.0,346953
2024-05-02,16850.0,17800.0,16640.0,17590.0,887337
2024-05-03,18000.0,18010.0,17330.0,17410.0,681988
2024-05-07,17700.0,17880.0,17480.0,17840.0,502073
2024-05-08,17810.0,17820.0,17460.0,17580.0,343713
2024-05-09,17650.0,17720.0,17440.0,17460.0,258436
2024-05-10,17720.0,17730.0,16930.0,17150.0,433968
2024-05-13,17430.0,17910.0,17260.0,17700.0,562166
2024-05-14,17740.0,17740.0,17360.0,17640.0,291016
2024-05-16,17920.0,18350.0,17740.0,18120.0,1203522
2024-05-17,19170.0,19170.0,18560.0,18650.0,2010289
2024-05-20,18950.0,19140.0,18710.0,18920.0,926818
2024-05-21,19210.0,19950.0,19000.0,19350.0,1692751
2024-05-22,19450.0,19480.0,18910.0,19040.0,616886
2024-05-23,19440.0,19550.0,19010.0,19010.0,603058
2024-05-24,18590.0,18730.0,18160.0,18500.0,693732
2024-05-27,18580.0,18680.0,17270.0,17770.0,1333990
2024-05-28,17600.0,18230.0,17590.0,18060.0,559911
2024-05-29,18130.0,18340.0,17660.0,17800.0,601747
2024-05-30,17650.0,17820.0,17330.0,17550.0,318019
2024-05-31,17550.0,17590.0,17300.0,17370.0,349966
2024-06-03,17480.0,18040.0,17480.0,17960.0,410287
2024-06-04,17970.0,18040.0,17360.0,17370.0,383757
2024-06-05,17720.0,18440.0,17580.0,18320.0,955420
2024-06-07,18560.0,18950.0,18300.0,18530.0,780907
2024-06-10,18560.0,18630.0,18170.0,18210.0,359652
2024-06-11,18310.0,18320.0,18010.0,18140.0,341454
2024-06-12,18220.0,18300.0,17880.0,17970.0,338186
2024-06-13,18400.0,18830.0,18180.0,18350.0,800342
2024-06-14,18450.0,18610.0,18000.0,18470.0,517439
2024-06-17,18530.0,19090.0,18110.0,18110.0,824103
2024-06-18,18280.0,18830.0,18280.0,18810.0,836187
2024-06-19,18900.0,19320.0,18540.0,18800.0,1104082
2024-06-20,18870.0,18930.0,18100.0,18110.0,758661
2024-06-21,18100.0,18110.0,17700.0,17750.0,449480
2024-06-24,17580.0,17700.0,17000.0,17210.0,493948
2024-06-25,16900.0,17250.0,16850.0,17120.0,385056
2024-06-26,17290.0,17940.0,17120.0,17660.0,454234
2024-06-27,17530.0,17760.0,17350.0,17350.0,219358
2024-06-28,17460.0,17690.0,17330.0,17560.0,186890
2024-07-01,17570.0,17600.0,17390.0,17440.0,199231
2024-07-02,17290.0,17420.0,16800.0,16800.0,438950
2024-07-03,16800.0,16940.0,16680.0,16680.0,222565
2024-07-04,16780.0,17520.0,16780.0,17470.0,437119
2024-07-05,17590.0,17740.0,17290.0,17430.0,372696
2024-07-08,17430.0,17610.0,17050.0,17190.0,307140
2024-07-09,17350.0,17420.0,17120.0,17230.0,176850
2024-07-10,17200.0,17200.0,16880.0,16900.0,261233
2024-07-11,17030.0,17430.0,16980.0,17120.0,375348
2024-07-12,16960.0,17250.0,16880.0,17000.0,286645
2024-07-15,17070.0,17070.0,16820.0,16850.0,207389
2024-07-16,16820.0,16970.0,16780.0,16910.0,159944
2024-07-17,16920.0,16940.0,16470.0,16470.0,278960
2024-07-18,15700.0,15900.0,15470.0,15700.0,603634
2024-07-19,15510.0,15720.0,15300.0,15370.0,223590
2024-07-22,15320.0,15370.0,14180.0,14230.0,609048
2024-07-23,14540.0,14860.0,14150.0,14300.0,481480
2024-07-24,14000.0,14570.0,13980.0,14420.0,201085
2024-07-25,13930.0,14000.0,13520.0,13730.0,420070
2024-07-26,13850.0,13940.0,13590.0,13910.0,182860
2024-07-29,13950.0,14100.0,13750.0,13950.0,179685
2024-07-30,13830.0,13900.0,13290.0,13500.0,453128
2024-07-31,13500.0,14650.0,13190.0,14620.0,474989
2024-08-01,15000.0,15170.0,14460.0,14650.0,387957
2024-08-02,14000.0,14150.0,13300.0,13410.0,496010
2024-08-05,12880.0,13230.0,10500.0,11050.0,1051380
2024-08-06,11100.0,11950.0,11080.0,11690.0,690171
2024-08-07,11710.0,13050.0,11600.0,12650.0,786031
2024-08-08,12300.0,13540.0,12020.0,13500.0,787513
2024-08-09,14040.0,14220.0,13770.0,13970.0,648082
2024-08-12,14040.0,14360.0,13840.0,13880.0,284906
2024-08-13,13990.0,14740.0,13890.0,14250.0,583433
2024-08-14,14660.0,15550.0,14600.0,15260.0,964847
2024-08-16,15710.0,15840.0,15400.0,15530.0,450784
2024-08-19,15680.0,15740.0,15060.0,15100.0,268935
2024-08-20,15400.0,15730.0,15320.0,15390.0,288719
2024-08-21,15250.0,15300.0,14860.0,15070.0,251569
2024-08-22,15000.0,15370.0,14360.0,14400.0,433809
2024-08-23,14150.0,14760.0,14020.0,14610.0,216007
2024-08-26,14910.0,15240.0,14620.0,14790.0,288494
2024-08-27,14620.0,14710.0,14280.0,14490.0,172036
2024-08-28,14500.0,14940.0,14310.0,14880.0,194854
2024-08-29,14310.0,14600.0,14000.0,14600.0,333402
2024-08-30,14610.0,15300.0,14330.0,15130.0,286512
2024-09-02,15280.0,15350.0,14720.0,15080.0,203003
2024-09-03,15080.0,15210.0,14460.0,14640.0,232416
2024-09-04,13680.0,14250.0,13540.0,13700.0,363707
2024-09-05,13840.0,14200.0,13550.0,13820.0,260398
2024-09-06,13750.0,13810.0,12980.0,13130.0,384475
2024-09-09,12610.0,13680.0,12610.0,13600.0,229716
2024-09-10,13650.0,13840.0,13130.0,13430.0,207922
2024-09-11,13440.0,13490.0,13100.0,13130.0,196026
2024-09-12,13460.0,13860.0,13460.0,13690.0,266986
