date,open,high,low,close,volume
2024-01-03,5350.0,5520.0,5250.0,5510.0,259061
2024-01-04,5460.0,5480.0,5230.0,5310.0,232095
2024-01-05,5500.0,6730.0,5480.0,5760.0,12161709
2024-01-08,5670.0,5700.0,5570.0,5570.0,665513
2024-01-09,5530.0,5640.0,5430.0,5610.0,382739
2024-01-10,5610.0,5730.0,5510.0,5650.0,426044
2024-01-11,5690.0,5740.0,5570.0,5630.0,327540
2024-01-12,5900.0,6380.0,5630.0,5700.0,6059382
2024-01-15,5610.0,5690.0,5550.0,5550.0,317216
2024-01-16,5500.0,5570.0,5290.0,5380.0,318165
2024-01-17,5430.0,5550.0,5300.0,5340.0,342020
2024-01-18,5310.0,5470.0,5310.0,5380.0,181343
2024-01-19,5450.0,5560.0,5380.0,5550.0,196699
2024-01-22,5550.0,5560.0,5080.0,5150.0,445491
2024-01-23,5220.0,5410.0,5150.0,5280.0,233618
2024-01-24,5280.0,5290.0,5100.0,5140.0,141215
2024-01-25,5140.0,5190.0,5010.0,5100.0,133714
2024-01-26,5050.0,5190.0,5050.0,5120.0,53764
2024-01-29,5100.0,5170.0,5060.0,5080.0,92418
2024-01-30,5090.0,5190.0,5070.0,5140.0,74871
2024-01-31,5090.0,5100.0,5020.0,5080.0,73550
2024-02-01,5020.0,5100.0,5010.0,5090.0,69375
2024-02-02,5090.0,5220.0,5090.0,5150.0,69967
2024-02-05,5190.0,5190.0,5080.0,5130.0,77133
2024-02-06,5130.0,5130.0,5040.0,5120.0,49359
2024-02-07,5150.0,5180.0,5080.0,5120.0,53068
2024-02-08,5110.0,5210.0,5100.0,5180.0,53713
2024-02-13,5150.0,5250.0,5140.0,5230.0,53629
2024-02-14,5170.0,5220.0,5140.0,5200.0,50485
2024-02-15,5200.0,5230.0,5140.0,5220.0,35815
2024-02-16,5200.0,5210.0,5130.0,5180.0,89558
2024-02-19,5150.0,5260.0,5110.0,5200.0,72220
2024-02-20,5200.0,5230.0,5140.0,5180.0,61335
2024-02-21,5180.0,5190.0,5100.0,5110.0,62898
2024-02-22,5120.0,5130.0,5050.0,5050.0,92418
2024-02-23,5100.0,5110.0,5030.0,5050.0,73027
2024-02-26,5050.0,5060.0,4930.0,4950.0,128381
2024-02-27,4950.0,4950.0,4850.0,4850.0,130139
2024-02-28,4830.0,4900.0,4805.0,4845.0,72890
2024-02-29,4825.0,4825.0,4760.0,4780.0,72833
2024-03-04,4800.0,4855.0,4740.0,4745.0,66299
2024-03-05,4745.0,4785.0,4670.0,4685.0,81477
2024-03-06,4660.0,5490.0,4660.0,4900.0,1893998
2024-03-07,4860.0,4910.0,4785.0,4785.0,152688
2024-03-08,4790.0,4950.0,4780.0,4860.0,194273
2024-03-11,4850.0,5050.0,4840.0,4865.0,247777
2024-03-12,4860.0,5130.0,4860.0,5050.0,302611
2024-03-13,5080.0,5080.0,4970.0,4980.0,100181
2024-03-14,4980.0,5040.0,4945.0,4955.0,63825
2024-03-15,4955.0,5000.0,4890.0,4900.0,49939
2024-03-18,4890.0,4920.0,4820.0,4880.0,53395
2024-03-19,4880.0,4990.0,4815.0,4825.0,51221
2024-03-20,4890.0,5200.0,4860.0,5060.0,496430
2024-03-21,5050.0,5160.0,5030.0,5110.0,211248
2024-03-22,5110.0,5400.0,5040.0,5220.0,479300
2024-03-25,5230.0,5350.0,5220.0,5290.0,224723
2024-03-26,5290.0,5810.0,5160.0,5220.0,1533271
2024-03-27,5250.0,5280.0,5180.0,5190.0,174350
2024-03-28,5190.0,5260.0,5140.0,5140.0,96297
2024-03-29,5140.0,5190.0,5050.0,5070.0,115447
2024-04-01,5070.0,5250.0,5040.0,5200.0,95813
2024-04-02,5180.0,5200.0,5050.0,5050.0,97050
2024-04-03,5030.0,5090.0,4915.0,4965.0,122694
2024-04-04,4970.0,5110.0,4950.0,4985.0,72822
2024-04-05,4905.0,5000.0,4905.0,4920.0,69412
2024-04-08,4945.0,4945.0,4780.0,4825.0,79019
2024-04-09,4810.0,4885.0,4805.0,4815.0,54957
2024-04-11,4810.0,4810.0,4680.0,4785.0,49835
2024-04-12,4765.0,4845.0,4750.0,4785.0,31471
2024-04-15,4745.0,4755.0,4600.0,4670.0,80351
2024-04-16,4710.0,4710.0,4560.0,4570.0,79556
2024-04-17,4600.0,4640.0,4540.0,4540.0,38932
2024-04-18,4525.0,4970.0,4525.0,4680.0,109697
2024-04-19,4680.0,4705.0,4500.0,4590.0,57789
2024-04-22,4570.0,4730.0,4570.0,4700.0,31967
2024-04-23,4700.0,4780.0,4670.0,4695.0,28319
2024-04-24,4720.0,4755.0,4705.0,4720.0,30964
2024-04-25,4720.0,4730.0,4685.0,4695.0,14624
2024-04-26,4700.0,4720.0,4600.0,4635.0,40263
2024-04-29,4680.0,4725.0,4635.0,4720.0,37176
2024-04-30,4655.0,4735.0,4655.0,4705.0,59601
2024-05-02,4720.0,4720.0,4635.0,4660.0,44342
2024-05-03,4670.0,4720.0,4670.0,4705.0,31917
2024-05-07,4710.0,4775.0,4710.0,4720.0,49239
2024-05-08,4700.0,4745.0,4695.0,4715.0,26873
2024-05-09,4770.0,4770.0,4720.0,4725.0,24170
2024-05-10,4765.0,4765.0,4705.0,4750.0,33614
2024-05-13,4785.0,4785.0,4660.0,4665.0,55384
2024-05-14,4640.0,4740.0,4625.0,4725.0,37003
2024-05-16,4735.0,5590.0,4710.0,5060.0,4148316
2024-05-17,5130.0,5130.0,4985.0,5050.0,412678
2024-05-20,5050.0,5090.0,4925.0,5000.0,224057
2024-05-21,5020.0,5030.0,4950.0,4950.0,122408
2024-05-22,4960.0,5070.0,4920.0,4930.0,117667
2024-05-23,4930.0,4985.0,4880.0,4920.0,61564
2024-05-24,4910.0,4950.0,4870.0,4875.0,63371
2024-05-27,4910.0,4920.0,4855.0,4860.0,67654
2024-05-28,4895.0,4950.0,4875.0,4935.0,59257
2024-05-29,4970.0,5020.0,4925.0,4990.0,126164
2024-05-30,4990.0,4990.0,4905.0,4910.0,89335
2024-05-31,4910.0,5030.0,4895.0,5000.0,99160
2024-06-03,4955.0,5060.0,4955.0,4995.0,81801
2024-06-04,5000.0,5040.0,4970.0,5000.0,86603
2024-06-05,4985.0,5020.0,4830.0,4855.0,190391
2024-06-07,4835.0,4885.0,4800.0,4840.0,80394
2024-06-10,4840.0,4840.0,4760.0,4805.0,104948
2024-06-11,4790.0,4860.0,4790.0,4840.0,51146
2024-06-12,4855.0,4925.0,4820.0,4860.0,64859
2024-06-13,4910.0,4925.0,4860.0,4860.0,30002
2024-06-14,4860.0,4875.0,4785.0,4795.0,65038
2024-06-17,4800.0,4935.0,4770.0,4910.0,63763
2024-06-18,4880.0,4915.0,4780.0,4810.0,61649
2024-06-19,4810.0,4810.0,4755.0,4790.0,53000
2024-06-20,4790.0,4810.0,4770.0,4800.0,101795
2024-06-21,4915.0,4970.0,4775.0,4790.0,238987
2024-06-24,4760.0,4780.0,4675.0,4690.0,81442
2024-06-25,4665.0,4790.0,4665.0,4730.0,27972
2024-06-26,4730.0,4775.0,4670.0,4695.0,40843
2024-06-27,4670.0,4685.0,4605.0,4660.0,79041
2024-06-28,4630.0,4705.0,4625.0,4640.0,37964
2024-07-01,4640.0,4735.0,4640.0,4720.0,25941
2024-07-02,4760.0,4760.0,4645.0,4645.0,26921
2024-07-03,4630.0,4675.0,4610.0,4640.0,45354
2024-07-04,4615.0,4650.0,4610.0,4625.0,28818
2024-07-05,4615.0,4705.0,4615.0,4680.0,40998
2024-07-08,4670.0,4725.0,4670.0,4710.0,21371
2024-07-09,4715.0,4775.0,4715.0,4750.0,36291
2024-07-10,4730.0,4860.0,4720.0,4830.0,80015
2024-07-11,4820.0,4850.0,4785.0,4820.0,41115
2024-07-12,4820.0,4865.0,4790.0,4835.0,57144
2024-07-15,4835.0,4900.0,4830.0,4835.0,39280
2024-07-16,4835.0,4890.0,4805.0,4860.0,92538
2024-07-17,4885.0,5180.0,4865.0,4955.0,656067
2024-07-18,4885.0,4945.0,4805.0,4900.0,128089
2024-07-19,4900.0,4930.0,4870.0,4900.0,61327
2024-07-22,4875.0,4930.0,4830.0,4865.0,64536
2024-07-23,4865.0,5150.0,4865.0,5080.0,440307
2024-07-24,5000.0,5240.0,4970.0,5060.0,307788
2024-07-25,4955.0,5120.0,4920.0,5080.0,139247
2024-07-26,5040.0,5150.0,5040.0,5120.0,138407
2024-07-29,5130.0,5160.0,5060.0,5090.0,95888
2024-07-30,5100.0,5100.0,4985.0,5000.0,80637
2024-07-31,4985.0,5110.0,4985.0,5020.0,89739
2024-08-01,5000.0,5110.0,5000.0,5090.0,77795
2024-08-02,5020.0,5070.0,4920.0,4945.0,100624
2024-08-05,4910.0,4920.0,4120.0,4280.0,332853
