date,open,high,low,close,volume
2024-11-04,9477.0,9703.0,9472.0,9703.0,741537
2024-11-05,9620.0,9688.0,9605.0,9679.0,684217
2024-11-06,9743.0,9752.0,9605.0,9698.0,948024
2024-11-07,9693.0,9733.0,9595.0,9698.0,211813
2024-11-08,9777.0,9797.0,9644.0,9684.0,135403
2024-11-11,9620.0,9620.0,9507.0,9556.0,261927
2024-11-12,9536.0,9536.0,9325.0,9325.0,187582
2024-11-13,9295.0,9335.0,9108.0,9128.0,321427
2024-11-14,9177.0,9177.0,9064.0,9079.0,115814
2024-11-15,9123.0,9182.0,9045.0,9162.0,157940
2024-11-18,9162.0,9320.0,9162.0,9231.0,324236
2024-11-19,9236.0,9271.0,9226.0,9251.0,113454
2024-11-20,9256.0,9344.0,9256.0,9300.0,566593
2024-11-21,9276.0,9330.0,9256.0,9256.0,188839
2024-11-22,9335.0,9389.0,9330.0,9369.0,84056
2024-11-25,9413.0,9448.0,9359.0,9423.0,291729
2024-11-26,9364.0,9369.0,9310.0,9359.0,985690
2024-11-27,9344.0,9369.0,9285.0,9300.0,702364
2024-11-28,9285.0,9339.0,9236.0,9266.0,409762
2024-11-29,9256.0,9256.0,9113.0,9177.0,261604
2024-12-02,9305.0,9310.0,9226.0,9246.0,186762
2024-12-03,9339.0,9453.0,9339.0,9453.0,1903647
2024-12-04,9315.0,9453.0,9310.0,9379.0,649678
2024-12-05,9438.0,9438.0,9310.0,9349.0,113437
2024-12-06,9418.0,9418.0,9177.0,9241.0,328493
2024-12-09,9128.0,9133.0,8971.0,8986.0,120723
2024-12-10,9040.0,9167.0,9040.0,9167.0,915
2024-12-11,9138.0,9231.0,9094.0,9231.0,15898
2024-12-12,9295.0,9335.0,9246.0,9290.0,409740
2024-12-13,9310.0,9384.0,9300.0,9369.0,20805
2024-12-16,9453.0,9457.0,9325.0,9325.0,101255
2024-12-17,9325.0,9344.0,9271.0,9290.0,15224
2024-12-18,9344.0,9433.0,9330.0,9428.0,4264
2024-12-19,9207.0,9276.0,9207.0,9241.0,34745
2024-12-20,9172.0,9172.0,9015.0,9079.0,229305
2024-12-23,9167.0,9271.0,9162.0,9246.0,127858
2024-12-24,9354.0,9354.0,9192.0,9261.0,1467680
2024-12-26,9261.0,9280.0,9226.0,9226.0,1404
2024-12-27,9226.0,9251.0,9153.0,9212.0,425070
2024-12-30,9246.0,9290.0,9158.0,9197.0,21159
2025-01-02,9221.0,9221.0,9128.0,9202.0,21504
2025-01-03,9231.0,9389.0,9231.0,9310.0,139039
2025-01-06,9398.0,9546.0,9369.0,9526.0,231124
2025-01-07,9664.0,9703.0,9536.0,9541.0,14972
2025-01-08,9472.0,9625.0,9438.0,9595.0,2610
2025-01-09,9649.0,9747.0,9649.0,9688.0,2977
2025-01-10,9728.0,9782.0,9684.0,9698.0,10323
2025-01-13,9649.0,9679.0,9541.0,9575.0,52578
2025-01-14,9516.0,9595.0,9516.0,9590.0,1953
2025-01-15,9659.0,9703.0,9585.0,9585.0,64311
2025-01-16,9713.0,9757.0,9703.0,9713.0,11745
2025-01-17,9595.0,9723.0,9595.0,9684.0,13831
2025-01-20,9841.0,9841.0,9600.0,9620.0,1127
2025-01-21,9772.0,9782.0,9644.0,9693.0,44883
2025-01-22,9762.0,9826.0,9708.0,9826.0,2650
2025-01-23,9792.0,9792.0,9688.0,9738.0,1502
2025-01-24,9821.0,9841.0,9772.0,9772.0,1246
2025-01-31,9575.0,9664.0,9556.0,9649.0,62713
2025-02-03,9472.0,9472.0,9315.0,9383.0,53793
2025-02-04,9521.0,9580.0,9457.0,9492.0,1557
2025-02-05,9600.0,9600.0,9531.0,9531.0,1439
2025-02-06,9521.0,9624.0,9521.0,9585.0,1191
2025-02-07,9634.0,9644.0,9556.0,9561.0,1921
2025-02-10,9585.0,9585.0,9472.0,9546.0,2724
2025-02-11,9620.0,9664.0,9590.0,9639.0,478
2025-02-12,9629.0,9669.0,9595.0,9634.0,3735
2025-02-13,9669.0,9723.0,9639.0,9703.0,4567
2025-02-14,9757.0,9851.0,9718.0,9777.0,2132
2025-02-17,9812.0,9890.0,9812.0,9871.0,3808
2025-02-18,9881.0,9935.0,9851.0,9935.0,8578
2025-02-19,9994.0,10147.0,9994.0,10082.0,193988
2025-02-20,10117.0,10122.0,10023.0,10028.0,1659
2025-02-21,10087.0,10087.0,9999.0,10053.0,1566
2025-02-24,9954.0,9974.0,9895.0,9950.0,18507
2025-02-25,9866.0,9950.0,9856.0,9910.0,72151
2025-02-26,9900.0,9999.0,9881.0,9974.0,88286
2025-02-27,10018.0,10018.0,9890.0,9920.0,15371
2025-02-28,9846.0,9846.0,9590.0,9610.0,92435
2025-03-04,9644.0,9698.0,9526.0,9605.0,33392
2025-03-05,9698.0,9752.0,9605.0,9688.0,237132
2025-03-06,9738.0,9807.0,9738.0,9767.0,4525
2025-03-07,9748.0,9764.0,9674.0,9708.0,1870
2025-03-10,9708.0,9792.0,9708.0,9767.0,1899
2025-03-11,9580.0,9698.0,9526.0,9659.0,15709
2025-03-12,9743.0,9861.0,9723.0,9861.0,10312
2025-03-13,10019.0,10019.0,9807.0,9807.0,37620
2025-03-14,9891.0,9945.0,9826.0,9910.0,15592
2025-03-17,10029.0,10108.0,10029.0,10073.0,7788
