date,open,high,low,close,volume
2024-04-24,7630.0,7670.0,7500.0,7535.0,2902870
2024-04-25,7540.0,7695.0,7505.0,7585.0,2179442
2024-04-26,7620.0,7870.0,7595.0,7815.0,2721346
2024-04-29,7855.0,8265.0,7855.0,8165.0,5066021
2024-04-30,8200.0,8260.0,8060.0,8115.0,2346724
2024-05-02,8105.0,8195.0,8035.0,8145.0,1342026
2024-05-03,8215.0,8325.0,8160.0,8200.0,1596602
2024-05-07,8270.0,8295.0,8150.0,8240.0,2026121
2024-05-08,8205.0,8275.0,8110.0,8120.0,1745913
2024-05-09,8100.0,8370.0,8080.0,8300.0,2958410
2024-05-10,8300.0,8390.0,8165.0,8175.0,1956386
2024-05-13,8080.0,8190.0,7990.0,8015.0,1951434
2024-05-14,8020.0,8110.0,7995.0,8010.0,1261850
2024-05-16,7930.0,7945.0,7775.0,7790.0,2585117
2024-05-17,7760.0,7850.0,7720.0,7825.0,2074997
2024-05-20,7950.0,7995.0,7860.0,7890.0,1897971
2024-05-21,7885.0,7915.0,7805.0,7815.0,1313664
2024-05-22,7815.0,7935.0,7810.0,7920.0,1834340
2024-05-23,7915.0,7945.0,7755.0,7770.0,1581769
2024-05-24,7740.0,7825.0,7675.0,7690.0,1344532
2024-05-27,7685.0,7685.0,7575.0,7625.0,1456038
2024-05-28,7640.0,7670.0,7520.0,7535.0,1541255
2024-05-29,7535.0,7735.0,7525.0,7620.0,1602280
2024-05-30,7645.0,7805.0,7645.0,7775.0,1590338
2024-05-31,7780.0,7975.0,7780.0,7890.0,1509984
2024-06-03,7885.0,7915.0,7750.0,7815.0,998360
2024-06-04,7825.0,7945.0,7790.0,7925.0,1029560
2024-06-05,7935.0,8070.0,7925.0,7975.0,947453
2024-06-07,7890.0,7905.0,7555.0,7635.0,3977985
2024-06-10,7635.0,7645.0,7590.0,7620.0,747837
2024-06-11,7590.0,7680.0,7570.0,7680.0,1946484
2024-06-12,7670.0,7695.0,7620.0,7645.0,1172419
2024-06-13,7560.0,7720.0,7440.0,7660.0,10180423
2024-06-14,7660.0,7675.0,7530.0,7650.0,5677311
2024-06-17,7650.0,7855.0,7615.0,7790.0,4453867
2024-06-18,7795.0,7855.0,7770.0,7785.0,3160855
2024-06-19,7795.0,7850.0,7690.0,7700.0,2573386
2024-06-20,7700.0,7705.0,7555.0,7560.0,2473994
2024-06-21,7550.0,7575.0,7410.0,7490.0,2740468
2024-06-24,7460.0,7510.0,7410.0,7435.0,1673712
2024-06-25,7415.0,7450.0,7315.0,7370.0,2679874
2024-06-26,7350.0,7460.0,7280.0,7445.0,2020231
2024-06-27,7460.0,7475.0,7315.0,7325.0,1764675
2024-06-28,7325.0,7380.0,7190.0,7190.0,1826711
2024-07-01,7190.0,7200.0,6975.0,7095.0,2238975
2024-07-02,7095.0,7190.0,7090.0,7090.0,1274962
2024-07-03,7100.0,7240.0,7075.0,7165.0,1897945
2024-07-04,7140.0,7240.0,7085.0,7095.0,1851472
2024-07-05,7090.0,7090.0,6945.0,7005.0,2446405
2024-07-08,7000.0,7000.0,6905.0,6915.0,1742917
2024-07-09,6915.0,7060.0,6865.0,7040.0,2471966
2024-07-10,7040.0,7210.0,7030.0,7050.0,2025361
2024-07-11,7060.0,7270.0,7060.0,7185.0,2004340
2024-07-12,7180.0,7280.0,7140.0,7270.0,1297297
2024-07-15,7250.0,7255.0,7170.0,7170.0,1347302
2024-07-16,7150.0,7285.0,7150.0,7215.0,1622375
2024-07-17,7230.0,7270.0,7170.0,7240.0,1019316
2024-07-18,7165.0,7320.0,7105.0,7290.0,1680812
2024-07-19,7300.0,7380.0,7250.0,7340.0,1383365
2024-07-22,7315.0,7395.0,7265.0,7285.0,1729291
2024-07-23,7300.0,7340.0,7135.0,7135.0,1302869
2024-07-24,7085.0,7090.0,6955.0,6955.0,1667893
2024-07-25,6915.0,7050.0,6895.0,7030.0,2689356
2024-07-26,7005.0,7200.0,7005.0,7090.0,1059728
2024-07-29,7090.0,7135.0,6925.0,6945.0,1284552
2024-07-30,6925.0,6945.0,6870.0,6895.0,712139
2024-07-31,6890.0,7100.0,6880.0,7075.0,1311472
2024-08-01,7085.0,7145.0,6900.0,6915.0,1022660
2024-08-02,6895.0,6925.0,6790.0,6805.0,1890681
2024-08-05,6770.0,6875.0,6500.0,6695.0,5553907
2024-08-06,6765.0,6850.0,6720.0,6740.0,2132253
2024-08-07,6745.0,6840.0,6745.0,6785.0,1119827
2024-08-08,6750.0,6815.0,6685.0,6775.0,1055680
2024-08-09,6795.0,6900.0,6720.0,6720.0,1421558
2024-08-12,6685.0,6745.0,6630.0,6670.0,1215204
2024-08-13,6650.0,6730.0,6605.0,6655.0,1090708
2024-08-14,6690.0,6735.0,6590.0,6610.0,1101856
2024-08-16,6655.0,6685.0,6615.0,6615.0,1487961
2024-08-19,6610.0,6675.0,6535.0,6545.0,1201231
2024-08-20,6545.0,6560.0,6465.0,6475.0,1037134
2024-08-21,6450.0,6560.0,6375.0,6535.0,1568653
2024-08-22,6540.0,6585.0,6510.0,6525.0,816166
2024-08-23,6505.0,6550.0,6480.0,6515.0,1170095
2024-08-26,6515.0,6570.0,6455.0,6510.0,1024088
2024-08-27,6510.0,6515.0,6435.0,6480.0,1144843
2024-08-28,6470.0,6510.0,6395.0,6480.0,1284323
2024-08-29,6440.0,6545.0,6340.0,6500.0,1560409
2024-08-30,6490.0,6825.0,6490.0,6730.0,1964347
2024-09-02,6730.0,6740.0,6570.0,6570.0,1249699
2024-09-03,6555.0,6730.0,6530.0,6690.0,1283050
2024-09-04,6635.0,6810.0,6635.0,6725.0,1787463
2024-09-05,6730.0,6840.0,6725.0,6755.0,1052302
2024-09-06,6740.0,6800.0,6650.0,6670.0,762432
2024-09-09,6655.0,6725.0,6585.0,6610.0,961501
2024-09-10,6625.0,6700.0,6600.0,6675.0,1018239
2024-09-11,6670.0,6860.0,6625.0,6815.0,1530369
2024-09-12,6860.0,6905.0,6810.0,6810.0,835512
2024-09-13,6800.0,6800.0,6640.0,6665.0,1024844
2024-09-19,6680.0,6830.0,6650.0,6750.0,721388
2024-09-20,6780.0,6815.0,6710.0,6750.0,888863
2024-09-23,6755.0,6855.0,6755.0,6780.0,1183267
2024-09-24,6760.0,7095.0,6760.0,7080.0,3193464
2024-09-25,7235.0,7385.0,7215.0,7260.0,2466450
2024-09-26,7260.0,7385.0,7225.0,7380.0,1654526
2024-09-27,7500.0,8095.0,7500.0,7875.0,7434297
2024-09-30,8000.0,8665.0,8000.0,8545.0,8078421
2024-10-02,8710.0,9350.0,8710.0,9145.0,9899821
2024-10-04,9225.0,9495.0,9100.0,9365.0,6285049
2024-10-07,9500.0,9875.0,9495.0,9745.0,6575757
