date,open,high,low,close,volume
2024-01-03,6790.0,6800.0,6700.0,6700.0,422652
2024-01-04,6700.0,6750.0,6520.0,6570.0,430694
2024-01-05,6570.0,6620.0,6480.0,6520.0,340954
2024-01-08,6500.0,6590.0,6460.0,6500.0,303543
2024-01-09,6540.0,6590.0,6470.0,6520.0,289413
2024-01-10,6520.0,6560.0,6420.0,6430.0,398777
2024-01-11,6470.0,6530.0,6450.0,6510.0,236200
2024-01-12,6510.0,6510.0,6360.0,6400.0,404619
2024-01-15,6400.0,6410.0,6240.0,6250.0,329557
2024-01-16,6250.0,6500.0,6210.0,6460.0,480718
2024-01-17,6510.0,6530.0,6170.0,6200.0,395017
2024-01-18,6220.0,6490.0,6200.0,6300.0,395105
2024-01-19,6330.0,6480.0,6220.0,6330.0,318891
2024-01-22,6360.0,6370.0,6180.0,6180.0,319051
2024-01-23,6190.0,6250.0,6150.0,6160.0,281194
2024-01-24,6160.0,6210.0,6090.0,6140.0,223735
2024-01-25,6120.0,6140.0,6010.0,6100.0,357034
2024-01-26,6110.0,6260.0,6080.0,6190.0,285070
2024-01-29,6160.0,6230.0,6140.0,6170.0,252797
2024-01-30,6190.0,6400.0,6150.0,6200.0,442391
2024-01-31,6240.0,6470.0,6180.0,6420.0,474336
2024-02-01,6310.0,6670.0,6310.0,6510.0,947482
2024-02-02,6650.0,6800.0,6550.0,6680.0,802477
2024-02-05,6770.0,6780.0,6590.0,6690.0,474117
2024-02-06,6690.0,6690.0,6510.0,6520.0,334342
2024-02-07,6520.0,6580.0,6470.0,6530.0,247310
2024-02-08,6540.0,6600.0,6480.0,6550.0,275513
2024-02-13,6550.0,6750.0,6550.0,6750.0,427771
2024-02-14,6660.0,6750.0,6630.0,6710.0,236650
2024-02-15,6750.0,6800.0,6660.0,6690.0,253707
2024-02-16,6720.0,6780.0,6680.0,6760.0,338618
2024-02-19,6810.0,6820.0,6690.0,6730.0,310037
2024-02-20,6710.0,6740.0,6610.0,6630.0,280474
2024-02-21,6630.0,6680.0,6500.0,6620.0,473181
2024-02-22,6660.0,6660.0,6470.0,6540.0,399629
2024-02-23,6570.0,6600.0,6400.0,6500.0,339464
2024-02-26,6500.0,6510.0,6400.0,6410.0,255743
2024-02-27,6410.0,6460.0,6260.0,6270.0,287432
2024-02-28,6260.0,6370.0,6250.0,6290.0,215344
2024-02-29,6330.0,6400.0,6270.0,6360.0,339485
2024-03-04,6360.0,6360.0,6200.0,6200.0,401594
2024-03-05,6200.0,6230.0,6090.0,6100.0,310825
2024-03-06,6030.0,6160.0,6020.0,6140.0,273173
2024-03-07,6100.0,6350.0,6030.0,6350.0,591640
2024-03-08,6360.0,6400.0,6100.0,6100.0,533729
2024-03-11,6050.0,6160.0,6040.0,6050.0,336901
2024-03-12,6050.0,6160.0,6040.0,6100.0,271412
2024-03-13,6050.0,6130.0,6010.0,6030.0,410407
2024-03-14,6060.0,6080.0,6010.0,6050.0,365802
2024-03-15,6020.0,6080.0,6010.0,6070.0,329453
2024-03-18,6110.0,6200.0,6070.0,6150.0,305339
2024-03-19,6120.0,6190.0,5450.0,5830.0,2160627
2024-03-20,5870.0,5920.0,5790.0,5860.0,392947
2024-03-21,5860.0,5940.0,5850.0,5880.0,309418
2024-03-22,5880.0,5920.0,5800.0,5890.0,223950
2024-03-25,5900.0,5960.0,5870.0,5930.0,311709
2024-03-26,5950.0,6320.0,5930.0,6060.0,952347
2024-03-27,6060.0,6120.0,6040.0,6100.0,238812
2024-03-28,6100.0,6130.0,5950.0,5960.0,396279
2024-03-29,5940.0,5960.0,5880.0,5900.0,184880
2024-04-01,5980.0,5980.0,5870.0,5870.0,236958
2024-04-02,5900.0,5910.0,5750.0,5770.0,396328
2024-04-03,5750.0,5760.0,5650.0,5690.0,289633
2024-04-04,5690.0,5740.0,5550.0,5570.0,440906
2024-04-05,5510.0,5670.0,5510.0,5620.0,181623
2024-04-08,5620.0,5660.0,5490.0,5520.0,265907
2024-04-09,5460.0,5580.0,5460.0,5470.0,196264
2024-04-11,5390.0,5520.0,5350.0,5470.0,149118
2024-04-12,5470.0,5510.0,5380.0,5380.0,187509
2024-04-15,5300.0,5430.0,5220.0,5350.0,220298
2024-04-16,5270.0,5450.0,5270.0,5270.0,231553
2024-04-17,5280.0,5370.0,5250.0,5270.0,161488
2024-04-18,5270.0,5500.0,5260.0,5420.0,159401
