date,open,high,low,close,volume
2024-04-23,3245.0,3265.0,3210.0,3265.0,3018
2024-04-24,3250.0,3270.0,3230.0,3260.0,6800
2024-04-25,3240.0,3260.0,3190.0,3245.0,8573
2024-04-26,3215.0,3540.0,3175.0,3365.0,31632
2024-04-29,3360.0,3500.0,3305.0,3475.0,28452
2024-04-30,3445.0,3525.0,3415.0,3475.0,8152
2024-05-02,3450.0,3535.0,3440.0,3475.0,6071
2024-05-03,3420.0,3450.0,3400.0,3440.0,7874
2024-05-07,3410.0,3475.0,3365.0,3450.0,2829
2024-05-08,3420.0,3450.0,3300.0,3330.0,25763
2024-05-09,3330.0,3395.0,3280.0,3340.0,14344
2024-05-10,3305.0,3450.0,3305.0,3420.0,15058
2024-05-13,3415.0,3550.0,3400.0,3495.0,18408
2024-05-14,3455.0,3500.0,3455.0,3500.0,13023
2024-05-16,3500.0,3590.0,3360.0,3530.0,57000
2024-05-17,3530.0,3530.0,3410.0,3440.0,7910
2024-05-20,3440.0,3440.0,3365.0,3385.0,5295
2024-05-21,3400.0,3490.0,3350.0,3380.0,22708
2024-05-22,3410.0,3520.0,3330.0,3390.0,19511
2024-05-23,3380.0,3425.0,3325.0,3380.0,18411
2024-05-24,3380.0,3775.0,3350.0,3350.0,168289
2024-05-27,3370.0,3425.0,3370.0,3375.0,17244
2024-05-28,3390.0,3460.0,3345.0,3345.0,15898
2024-05-29,3375.0,3475.0,3365.0,3400.0,23919
2024-05-30,3420.0,3430.0,3330.0,3350.0,8018
2024-05-31,3330.0,3430.0,3325.0,3350.0,16985
2024-06-03,3335.0,3380.0,3310.0,3350.0,17103
2024-06-04,3340.0,3415.0,3300.0,3335.0,15892
2024-06-05,3335.0,3345.0,3295.0,3340.0,16531
2024-06-07,3340.0,3340.0,3275.0,3320.0,14901
2024-06-10,3320.0,3340.0,3265.0,3265.0,13328
2024-06-11,3265.0,3270.0,3175.0,3195.0,29566
2024-06-12,3195.0,3230.0,3155.0,3195.0,16184
2024-06-13,3200.0,3285.0,3195.0,3275.0,11889
2024-06-14,3330.0,3500.0,3280.0,3355.0,59889
2024-06-17,3330.0,3445.0,3310.0,3340.0,22074
2024-06-18,3340.0,3340.0,3175.0,3205.0,47029
2024-06-19,3230.0,3260.0,3210.0,3255.0,17171
2024-06-20,3245.0,3245.0,3210.0,3225.0,3358
2024-06-21,3225.0,3305.0,3180.0,3295.0,16631
2024-06-24,3270.0,3270.0,3175.0,3215.0,11623
2024-06-25,3205.0,3230.0,3170.0,3220.0,5693
2024-06-26,3210.0,3210.0,3155.0,3165.0,2593
2024-06-27,3165.0,3165.0,3090.0,3090.0,15893
2024-06-28,3050.0,3260.0,3000.0,3140.0,26783
2024-07-01,3140.0,3220.0,3140.0,3215.0,8494
2024-07-02,3190.0,3240.0,3120.0,3125.0,12688
2024-07-03,3115.0,3215.0,3065.0,3100.0,14774
2024-07-04,3100.0,3130.0,3075.0,3120.0,5787
2024-07-05,3080.0,3230.0,3080.0,3180.0,20405
2024-07-08,3555.0,3815.0,3270.0,3335.0,757470
2024-07-09,3345.0,3395.0,3205.0,3225.0,77566
2024-07-10,3225.0,3305.0,3205.0,3225.0,21047
2024-07-11,3225.0,3285.0,3190.0,3230.0,21097
2024-07-12,3230.0,3445.0,3190.0,3380.0,66661
2024-07-15,3390.0,3390.0,3185.0,3250.0,47732
2024-07-16,3250.0,3250.0,3135.0,3235.0,41686
2024-07-17,3210.0,3225.0,2880.0,3060.0,183142
2024-07-18,2900.0,3120.0,2900.0,3070.0,52626
2024-07-19,3130.0,3130.0,3015.0,3060.0,27050
2024-07-22,3060.0,3090.0,3040.0,3085.0,23730
2024-07-23,3085.0,3200.0,3065.0,3175.0,28024
2024-07-24,3175.0,3220.0,3155.0,3185.0,32665
2024-07-25,3200.0,3500.0,3150.0,3380.0,151721
2024-07-26,3350.0,3400.0,3300.0,3390.0,27629
2024-07-29,3360.0,3455.0,3285.0,3385.0,28612
2024-07-30,3395.0,3900.0,3160.0,3280.0,552729
2024-07-31,3250.0,3280.0,3165.0,3215.0,24460
2024-08-01,3215.0,3300.0,3190.0,3220.0,30642
2024-08-02,3220.0,3695.0,3215.0,3325.0,369651
