date,open,high,low,close,volume
2024-04-24,14310.0,14350.0,13950.0,14120.0,1963697
2024-04-25,13850.0,14160.0,13850.0,14020.0,1217139
2024-04-26,14120.0,14470.0,14120.0,14350.0,2574082
2024-04-29,14350.0,14400.0,14140.0,14190.0,1924262
2024-04-30,14200.0,14300.0,14130.0,14230.0,1980111
2024-05-02,14110.0,14190.0,13920.0,13980.0,1669616
2024-05-03,14050.0,14160.0,14020.0,14130.0,877182
2024-05-07,14270.0,14360.0,14100.0,14190.0,2314190
2024-05-08,14250.0,14540.0,14200.0,14500.0,2066619
2024-05-09,14510.0,14590.0,14290.0,14340.0,2015366
2024-05-10,14540.0,14760.0,14470.0,14530.0,1942383
2024-05-13,14610.0,14810.0,14520.0,14590.0,1605921
2024-05-14,14570.0,14620.0,14420.0,14440.0,1205602
2024-05-16,14590.0,14780.0,14560.0,14640.0,1966682
2024-05-17,14640.0,14700.0,14540.0,14580.0,1204116
2024-05-20,14660.0,14970.0,14610.0,14740.0,1829573
2024-05-21,14610.0,14900.0,14600.0,14870.0,1393864
2024-05-22,14950.0,14960.0,14750.0,14820.0,1587000
2024-05-23,14680.0,14810.0,14430.0,14480.0,1836640
2024-05-24,14270.0,14470.0,14220.0,14430.0,1196078
2024-05-27,14400.0,14520.0,14260.0,14350.0,1239343
2024-05-28,14280.0,14320.0,14180.0,14220.0,1103613
2024-05-29,14080.0,14340.0,14050.0,14240.0,1490822
2024-05-30,14130.0,14220.0,14020.0,14030.0,1195849
2024-05-31,14140.0,14280.0,14090.0,14170.0,3595365
2024-06-03,14260.0,14380.0,14130.0,14250.0,878513
2024-06-04,14140.0,14340.0,14000.0,14070.0,1602271
2024-06-05,14070.0,14170.0,13980.0,14080.0,1171072
2024-06-07,14290.0,14420.0,14140.0,14280.0,1565944
2024-06-10,14100.0,14220.0,14080.0,14100.0,829120
2024-06-11,14110.0,14210.0,13990.0,14100.0,1343306
2024-06-12,14010.0,14180.0,14010.0,14180.0,788061
2024-06-13,14100.0,14340.0,13960.0,13960.0,2592007
2024-06-14,13950.0,14350.0,13940.0,14120.0,2505641
2024-06-17,14110.0,14180.0,13910.0,13950.0,1500261
2024-06-18,13980.0,14170.0,13940.0,14120.0,907160
2024-06-19,14180.0,14190.0,14060.0,14140.0,1458410
2024-06-20,14140.0,14380.0,14110.0,14360.0,1305776
2024-06-21,14300.0,14390.0,14190.0,14240.0,4197495
2024-06-24,14240.0,14570.0,14200.0,14490.0,2161796
2024-06-25,14630.0,14650.0,14510.0,14630.0,1358955
2024-06-26,14490.0,14620.0,14400.0,14470.0,1816480
2024-06-27,14330.0,14490.0,14080.0,14450.0,2576067
2024-06-28,14480.0,14690.0,14430.0,14690.0,2213641
2024-07-01,14660.0,14660.0,14330.0,14400.0,1633518
2024-07-02,14260.0,14620.0,14260.0,14480.0,1711786
2024-07-03,14580.0,15000.0,14500.0,14640.0,3105248
2024-07-04,14640.0,14930.0,14620.0,14850.0,1937735
2024-07-05,14850.0,14990.0,14720.0,14760.0,2437685
2024-07-08,14640.0,14810.0,14600.0,14740.0,1054351
2024-07-09,14810.0,14820.0,14520.0,14690.0,1756305
2024-07-10,14600.0,14700.0,14600.0,14660.0,1023631
2024-07-11,14800.0,14880.0,14650.0,14880.0,1841911
2024-07-12,14950.0,14960.0,14730.0,14840.0,1160692
2024-07-15,14890.0,14910.0,14650.0,14750.0,964591
2024-07-16,14800.0,14910.0,14740.0,14770.0,1327935
2024-07-17,14840.0,14900.0,14700.0,14860.0,1500162
2024-07-18,14990.0,14990.0,14850.0,14900.0,1552304
2024-07-19,14800.0,14870.0,14740.0,14870.0,1351086
2024-07-22,14890.0,14950.0,14770.0,14930.0,1385798
2024-07-23,14860.0,14970.0,14840.0,14860.0,1321083
2024-07-24,14810.0,14910.0,14580.0,14670.0,1810483
2024-07-25,14710.0,14710.0,14500.0,14530.0,1397398
2024-07-26,14810.0,16230.0,14800.0,16180.0,14562584
2024-07-29,16110.0,16960.0,16010.0,16330.0,10151683
2024-07-30,15790.0,15930.0,15520.0,15680.0,15407636
2024-07-31,15840.0,16040.0,15660.0,15740.0,4402644
2024-08-01,15650.0,16180.0,15630.0,15830.0,2916216
2024-08-02,15620.0,15700.0,15000.0,15130.0,4726728
2024-08-05,14700.0,14780.0,13740.0,13980.0,8090921
2024-08-06,14520.0,14760.0,14120.0,14150.0,4467360
2024-08-07,14150.0,14730.0,14020.0,14530.0,2426268
2024-08-08,14400.0,14790.0,14310.0,14450.0,2421205
2024-08-09,14640.0,14740.0,14440.0,14670.0,3336989
2024-08-12,14650.0,14820.0,14640.0,14750.0,1760105
2024-08-13,14710.0,15110.0,14710.0,15020.0,2033796
2024-08-14,15100.0,15410.0,15040.0,15270.0,2030550
