date,open,high,low,close,volume
2023-12-08,1443.0,1460.0,1440.0,1452.0,38958
2023-12-11,1452.0,1454.0,1434.0,1449.0,40786
2023-12-12,1452.0,1457.0,1437.0,1452.0,35191
2023-12-13,1452.0,1452.0,1437.0,1437.0,44686
2023-12-14,1097.0,1192.0,1045.0,1050.0,2010883
2023-12-15,1039.0,1082.0,1013.0,1074.0,573232
2023-12-18,1074.0,1085.0,1048.0,1062.0,186164
2023-12-19,1059.0,1065.0,1039.0,1059.0,158399
2023-12-20,1059.0,1062.0,1039.0,1053.0,137115
2023-12-21,1053.0,1053.0,1039.0,1048.0,147603
2023-12-22,1045.0,1048.0,1019.0,1027.0,106706
2023-12-26,1027.0,1030.0,970.0,987.0,202517
2023-12-27,993.0,1001.0,970.0,999.0,151867
2023-12-28,990.0,1036.0,990.0,1033.0,151852
2024-01-02,1071.0,1128.0,1016.0,1068.0,220723
2024-01-03,1068.0,1071.0,1027.0,1059.0,54877
2024-01-04,1059.0,1062.0,1030.0,1033.0,82450
2024-01-05,1013.0,1048.0,1013.0,1030.0,48106
2024-01-08,1036.0,1048.0,1001.0,1010.0,161000
2024-01-09,1022.0,1027.0,1004.0,1022.0,65611
2024-01-10,1030.0,1036.0,1010.0,1013.0,78334
2024-01-11,1022.0,1027.0,999.0,1024.0,60116
2024-01-12,1030.0,1039.0,1013.0,1027.0,76614
2024-01-15,1022.0,1027.0,1004.0,1010.0,94663
2024-01-16,1010.0,1013.0,996.0,1007.0,79739
2024-01-17,1007.0,1007.0,984.0,1001.0,63517
2024-01-18,1004.0,1042.0,984.0,1039.0,105210
2024-01-19,1045.0,1045.0,1013.0,1016.0,88176
2024-01-22,1016.0,1024.0,996.0,1001.0,53833
2024-01-23,1001.0,1016.0,993.0,1001.0,62390
2024-01-24,1004.0,1004.0,981.0,987.0,77663
2024-01-25,987.0,987.0,973.0,978.0,54852
2024-01-26,978.0,984.0,967.0,975.0,77406
2024-01-29,973.0,984.0,949.0,961.0,77923
2024-01-30,955.0,970.0,949.0,955.0,65313
2024-01-31,955.0,964.0,929.0,944.0,92247
2024-02-01,915.0,938.0,895.0,932.0,97181
2024-02-02,929.0,958.0,929.0,952.0,57299
2024-02-05,952.0,975.0,952.0,967.0,63764
2024-02-06,973.0,1255.0,973.0,1007.0,4274602
2024-02-07,1007.0,1183.0,999.0,1056.0,2553176
2024-02-08,1056.0,1097.0,1039.0,1042.0,418591
2024-02-13,1050.0,1065.0,1004.0,1024.0,234688
2024-02-14,1024.0,1120.0,1016.0,1076.0,545120
2024-02-15,1082.0,1154.0,1082.0,1128.0,758924
2024-02-16,1140.0,1154.0,1068.0,1100.0,229830
2024-02-19,1094.0,1172.0,1079.0,1169.0,529596
2024-02-20,1189.0,1212.0,1071.0,1105.0,1315645
2024-02-21,1316.0,1434.0,1250.0,1434.0,3595684
2024-02-22,1760.0,1775.0,1313.0,1342.0,15041915
2024-03-18,1342.0,1538.0,1075.0,1184.0,8376705
2024-03-19,1187.0,1188.0,1033.0,1042.0,1661556
2024-03-20,1250.0,1354.0,1195.0,1195.0,7740461
2024-03-21,1173.0,1191.0,1110.0,1110.0,1091329
2024-03-22,1169.0,1170.0,1086.0,1090.0,781881
2024-03-25,1090.0,1140.0,1044.0,1048.0,387272
2024-03-26,1056.0,1064.0,1030.0,1035.0,235251
