,Open,High,Low,Close,Volume
2024-04-30 04:00:00,5148.5,5148.5,5051.0,5067.0,1675335
2024-05-01 04:00:00,5050.0,5126.75,5037.75,5046.5,1955160
2024-05-02 04:00:00,5057.0,5113.0,5036.25,5091.5,1573131
2024-05-03 04:00:00,5110.25,5166.75,5099.25,5154.75,1604172
2024-05-06 04:00:00,5166.75,5207.75,5155.75,5206.5,1019307
2024-05-07 04:00:00,5204.75,5226.75,5202.25,5213.75,1106457
2024-05-08 04:00:00,5211.75,5218.0,5188.75,5212.75,1013418
2024-05-09 04:00:00,5209.25,5244.75,5195.0,5239.0,1094931
2024-05-10 04:00:00,5240.75,5264.0,5232.75,5246.25,1112925
2024-05-13 04:00:00,5240.5,5264.0,5233.25,5245.5,922763
2024-05-14 04:00:00,5241.75,5274.25,5216.75,5269.5,1252615
2024-05-15 04:00:00,5268.5,5337.25,5266.25,5333.0,1391029
2024-05-16 04:00:00,5331.5,5349.0,5315.5,5320.25,1207843
2024-05-17 04:00:00,5318.25,5328.75,5305.75,5327.25,1052765
2024-05-20 04:00:00,5329.25,5348.25,5323.75,5331.75,1031456
2024-05-21 04:00:00,5331.75,5347.5,5322.5,5345.25,1011849
2024-05-22 04:00:00,5343.5,5349.25,5306.75,5328.0,1257477
2024-05-23 04:00:00,5339.0,5368.25,5273.5,5285.25,2012153
2024-05-24 04:00:00,5285.75,5329.25,5285.75,5321.5,1264244
2024-05-28 04:00:00,5321.75,5339.0,5296.75,5324.75,1387872
2024-05-29 04:00:00,5323.75,5324.0,5268.25,5284.0,1445855
2024-05-30 04:00:00,5270.5,5277.0,5238.25,5253.0,1495148
2024-05-31 04:00:00,5250.5,5307.0,5205.5,5295.5,2452894
2024-06-03 04:00:00,5299.5,5313.25,5246.75,5297.25,1785532
2024-06-04 04:00:00,5300.25,5312.25,5262.0,5304.0,1679093
2024-06-05 04:00:00,5305.0,5368.25,5302.5,5366.0,1450596
2024-06-06 04:00:00,5367.75,5373.25,5345.25,5364.0,1228240
2024-06-07 04:00:00,5362.0,5385.5,5329.0,5355.75,1591439
2024-06-10 04:00:00,5351.5,5375.75,5338.25,5371.25,1185881
2024-06-11 04:00:00,5369.75,5386.25,5334.5,5384.0,1413433
2024-06-12 04:00:00,5384.5,5454.5,5380.0,5427.5,1899786
2024-06-13 04:00:00,5436.25,5452.75,5408.5,5438.5,1682858
2024-06-14 04:00:00,5436.0,5443.0,5397.75,5437.5,1789793
2024-06-17 04:00:00,5435.5,5494.0,5424.75,5478.5,1589643
2024-06-18 04:00:00,5480.25,5494.0,5473.5,5491.0,820053
2024-06-20 04:00:00,5492.75,5518.5,5458.5,5476.75,571332
2024-06-21 04:00:00,5477.0,5483.75,5460.5,5471.89013671875,1392213
2024-06-24 04:00:00,5538.5,5558.5,5510.25,5517.0,1410359
2024-06-25 04:00:00,5516.0,5539.75,5511.0,5537.0,1141183
2024-06-26 04:00:00,5535.0,5551.75,5516.25,5543.5,1197372
2024-06-27 04:00:00,5533.0,5555.0,5515.75,5546.0,1257121
2024-06-28 04:00:00,5548.25,5585.0,5510.75,5521.5,1855777
2024-07-01 04:00:00,5534.25,5541.0,5504.5,5533.75,1432355
2024-07-02 04:00:00,5533.5,5569.75,5502.75,5568.75,1315097
2024-07-03 13:30:00,5563.75,5595.75,5559.75,5590.25,808966
2024-07-05 04:00:00,5591.0,5626.0,5585.0,5621.5,1233173
2024-07-08 04:00:00,5612.0,5637.5,5610.75,5625.25,981186
2024-07-09 04:00:00,5627.75,5645.75,5626.25,5631.25,1063568
2024-07-10 04:00:00,5631.75,5690.5,5630.75,5688.0,1200224
2024-07-11 04:00:00,5684.25,5707.75,5630.0,5639.75,1970766
2024-07-12 04:00:00,5638.5,5708.25,5621.25,5664.75,1684437
2024-07-15 04:00:00,5681.0,5718.75,5665.5,5683.0,1701349
2024-07-16 04:00:00,5688.75,5721.25,5673.0,5717.25,1485113
2024-07-17 04:00:00,5715.0,5717.75,5631.75,5639.0,2059862
2024-07-18 04:00:00,5644.0,5664.0,5570.25,5594.5,2528379
2024-07-19 04:00:00,5602.5,5607.5,5542.0,5553.75,2106581
2024-07-22 04:00:00,5564.5,5616.0,5553.5,5610.75,1671918
2024-07-23 04:00:00,5607.75,5629.75,5587.75,5599.25,1385653
2024-07-24 04:00:00,5585.0,5585.0,5462.0,5472.0,2178690
2024-07-25 04:00:00,5482.5,5533.25,5432.5,5441.25,2888086
2024-07-26 04:00:00,5446.0,5528.25,5445.25,5499.0,1977698
2024-07-29 04:00:00,5496.5,5534.5,5481.0,5503.0,1697647
2024-07-30 04:00:00,5504.5,5527.5,5433.0,5472.5,2053956
2024-07-31 04:00:00,5454.75,5588.5,5451.5,5558.0,2156505
2024-08-01 04:00:00,5574.75,5600.75,5444.75,5480.25,2751690
2024-08-02 04:00:00,5464.25,5473.25,5331.75,5376.0,3239738
2024-08-05 04:00:00,5330.0,5345.5,5120.0,5217.5,3436090
2024-08-06 04:00:00,5250.0,5342.0,5221.75,5266.25,2172067
2024-08-07 04:00:00,5241.5,5359.25,5196.75,5227.5,2247229
2024-08-08 04:00:00,5208.25,5361.0,5182.0,5348.25,1912347
2024-08-09 04:00:00,5348.25,5385.25,5319.5,5370.25,1412017
2024-08-12 04:00:00,5364.25,5396.75,5347.75,5369.75,1219995
2024-08-13 04:00:00,5372.5,5461.25,5367.5,5459.0,1271171
2024-08-14 04:00:00,5457.5,5487.75,5438.75,5477.0,1301826
2024-08-15 04:00:00,5481.25,5571.75,5471.75,5567.5,1440377
2024-08-16 04:00:00,5568.5,5586.25,5536.5,5578.25,1183498
2024-08-19 04:00:00,5584.0,5631.75,5565.25,5630.0,1010612
2024-08-20 04:00:00,5629.5,5643.75,5607.75,5619.75,1020393
2024-08-21 04:00:00,5619.5,5655.25,5613.5,5641.5,1086814
2024-08-22 04:00:00,5642.0,5665.25,5582.75,5594.0,1409474
2024-08-23 04:00:00,5597.75,5662.25,5597.75,5652.5,1415472
2024-08-26 04:00:00,5650.5,5669.0,5619.75,5637.0,1090361
2024-08-27 04:00:00,5630.0,5649.5,5611.5,5644.75,1027658
2024-08-28 04:00:00,5643.75,5650.5,5576.0,5610.25,1381099
2024-08-29 04:00:00,5580.5,5663.75,5561.25,5610.0,1571688
2024-08-30 04:00:00,5618.5,5665.0,5594.25,5661.0,1558874
2024-09-03 04:00:00,5656.25,5669.75,5516.75,5541.75,1910577
2024-09-04 04:00:00,5538.5,5565.0,5506.75,5530.0,1749591
2024-09-05 04:00:00,5527.5,5557.25,5490.0,5512.25,1737210
2024-09-06 04:00:00,5513.0,5532.5,5394.0,5419.5,2377532
2024-09-09 04:00:00,5410.0,5493.0,5405.25,5479.5,2377532
2024-09-10 04:00:00,5488.25,5506.0,5448.25,5504.0,1525620
2024-09-11 04:00:00,5499.25,5567.5,5412.0,5561.25,2309139
2024-09-12 04:00:00,5558.0,5607.0,5540.25,5602.25,1726434
2024-09-13 04:00:00,5598.5,5641.5,5597.25,5629.75,1706322
2024-09-16 04:00:00,5622.75,5641.5,5609.25,5638.0,1588010
2024-09-17 04:00:00,5633.25,5675.5,5617.0,5639.0,1056184
2024-09-18 04:00:00,5639.5,5696.25,5613.75,5620.75,605651
2024-09-19 04:00:00,5631.5,5737.5,5631.5,5717.75,461433
2024-09-20 04:00:00,5714.75,5717.25,5699.25,5699.990234375,1623655
2024-09-23 04:00:00,5762.0,5784.5,5745.25,5776.75,1077941
2024-09-24 04:00:00,5774.0,5794.25,5754.75,5792.0,1181221
2024-09-25 04:00:00,5792.25,5798.75,5768.0,5779.0,1043665
2024-09-26 04:00:00,5783.5,5830.0,5778.25,5804.5,1360026
2024-09-27 04:00:00,5804.25,5821.5,5782.0,5791.25,1280272
2024-09-30 04:00:00,5784.0,5820.25,5756.25,5814.25,1502729
2024-10-01 04:00:00,5807.0,5822.5,5733.0,5759.75,1947177
2024-10-02 04:00:00,5760.25,5773.25,5724.0,5760.25,1250353
2024-10-03 04:00:00,5769.5,5772.75,5725.75,5749.5,1421429
2024-10-04 04:00:00,5745.75,5804.75,5741.0,5800.0,1460645
2024-10-07 04:00:00,5802.0,5808.0,5734.25,5744.75,1211368
2024-10-08 04:00:00,5752.5,5806.75,5725.25,5800.5,1172261
2024-10-09 04:00:00,5799.25,5846.5,5780.75,5841.25,1113875
2024-10-10 04:00:00,5836.0,5844.0,5811.5,5829.0,1116046
2024-10-11 04:00:00,5831.0,5868.25,5816.0,5859.75,1028816
2024-10-14 04:00:00,5854.5,5918.5,5850.0,5908.25,919072
2024-10-15 04:00:00,5914.25,5915.5,5850.0,5862.75,1365310
2024-10-16 04:00:00,5861.0,5892.75,5853.25,5887.0,935721
2024-10-17 04:00:00,5882.75,5927.25,5871.25,5887.0,1236083
2024-10-18 04:00:00,5888.25,5915.5,5876.25,5906.0,952612
2024-10-21 04:00:00,5911.5,5915.5,5865.0,5896.25,1063780
2024-10-22 04:00:00,5900.75,5904.25,5861.25,5892.5,1033296
2024-10-23 04:00:00,5887.25,5893.75,5801.0,5837.75,1468269
2024-10-24 04:00:00,5844.0,5870.0,5822.5,5849.0,1159448
2024-10-25 04:00:00,5853.25,5900.75,5835.0,5846.0,1368245
2024-10-28 04:00:00,5857.0,5884.5,5857.0,5861.5,1017440
2024-10-29 04:00:00,5867.0,5883.75,5837.5,5871.0,1195753
