,Open,High,Low,Close,Volume
2023-11-22 05:00:00,15967.25,16173.5,15942.75,16049.25,624552
2023-11-23 05:00:00,16036.75,16086.5,16034.5,16062.5,624552
2023-11-24 14:30:00,16036.75,16086.5,15981.75,16021.0,296604
2023-11-27 05:00:00,16008.0,16089.25,15938.75,16008.75,502555
2023-11-28 05:00:00,16005.25,16071.5,15945.25,16048.0,598224
2023-11-29 05:00:00,16055.5,16208.5,16013.5,16023.75,634326
2023-11-30 05:00:00,16040.25,16098.5,15856.0,15985.5,694118
2023-12-01 05:00:00,15955.0,16050.0,15864.0,16023.75,621710
2023-12-04 05:00:00,16022.0,16026.0,15721.25,15869.0,721019
2023-12-05 05:00:00,15863.25,15961.0,15761.25,15908.75,683586
2023-12-06 05:00:00,15897.0,16037.75,15802.0,15815.25,675482
2023-12-07 05:00:00,15814.5,16066.0,15791.0,16038.75,632326
2023-12-08 05:00:00,16017.5,16118.75,15888.25,16098.25,588926
2023-12-11 05:00:00,16093.0,16248.0,16045.5,16237.0,394184
2023-12-12 05:00:00,16240.0,16389.5,16185.25,16362.75,253666
2023-12-13 05:00:00,16383.0,16593.0,16365.5,16563.75,155141
2023-12-14 05:00:00,16561.5,16674.5,16418.75,16541.5,131883
2023-12-15 05:00:00,16532.5,16612.5,16521.5,16530.23046875,668578
2023-12-18 05:00:00,16820.25,16974.0,16802.25,16939.75,463438
2023-12-19 05:00:00,16917.0,17029.5,16910.75,17023.0,496518
2023-12-20 05:00:00,17024.0,17073.5,16758.5,16766.25,654329
2023-12-21 05:00:00,16790.25,16970.25,16790.25,16956.5,639818
2023-12-22 05:00:00,16956.0,17041.5,16891.5,16980.0,486853
2023-12-26 05:00:00,16964.5,17111.25,16964.5,17083.5,292090
2023-12-27 05:00:00,17090.25,17133.0,17055.5,17113.25,424302
2023-12-28 05:00:00,17127.0,17165.25,17077.75,17090.5,357702
2023-12-29 05:00:00,17090.25,17131.0,16938.25,17023.5,470864
2024-01-02 05:00:00,17019.0,17038.5,16622.5,16720.0,652714
2024-01-03 05:00:00,16736.75,16737.25,16522.0,16538.0,677219
2024-01-04 05:00:00,16545.25,16587.25,16436.0,16445.0,559464
2024-01-05 05:00:00,16455.0,16577.25,16334.25,16460.25,627475
2024-01-08 05:00:00,16470.0,16811.25,16378.25,16803.75,549900
2024-01-09 05:00:00,16788.0,16868.5,16657.75,16830.25,605921
2024-01-10 05:00:00,16829.5,16983.0,16801.5,16945.25,550703
2024-01-11 05:00:00,16955.0,17057.0,16753.0,16966.25,756441
2024-01-12 05:00:00,16957.75,17042.5,16866.5,16969.25,593445
2024-01-16 05:00:00,16961.75,17033.75,16811.75,16966.5,816021
2024-01-17 05:00:00,16978.0,16982.0,16689.25,16869.75,722784
2024-01-18 05:00:00,16854.5,17125.75,16834.25,17110.0,852229
2024-01-19 05:00:00,17116.0,17471.25,17107.25,17438.5,758132
2024-01-22 05:00:00,17466.0,17585.0,17434.0,17458.5,637245
2024-01-23 05:00:00,17461.0,17558.25,17409.5,17531.25,508078
2024-01-24 05:00:00,17554.0,17793.5,17552.25,17621.0,721605
2024-01-25 05:00:00,17614.75,17752.0,17542.0,17634.5,710822
2024-01-26 05:00:00,17571.25,17632.0,17466.0,17527.0,631481
2024-01-29 05:00:00,17502.0,17716.25,17457.5,17706.0,568739
2024-01-30 05:00:00,17711.75,17735.75,17467.0,17588.5,554146
2024-01-31 05:00:00,17415.5,17484.0,17221.5,17242.25,816119
2024-02-01 05:00:00,17273.25,17646.75,17262.75,17436.75,705238
2024-02-02 05:00:00,17588.0,17775.5,17465.5,17732.75,761167
2024-02-05 05:00:00,17696.0,17745.5,17554.25,17700.0,621645
2024-02-06 05:00:00,17698.5,17769.0,17560.75,17660.0,623168
2024-02-07 05:00:00,17645.75,17875.5,17629.75,17841.75,613340
2024-02-08 05:00:00,17856.25,17896.5,17792.25,17868.25,471370
2024-02-09 05:00:00,17854.25,18071.0,17852.25,18039.25,499282
2024-02-12 05:00:00,18040.0,18121.5,17911.25,17965.0,538132
2024-02-13 05:00:00,17928.5,17963.25,17542.0,17676.75,858230
2024-02-14 05:00:00,17703.0,17887.0,17669.25,17881.0,688088
2024-02-15 05:00:00,17870.0,17968.25,17780.5,17912.75,657768
2024-02-16 05:00:00,17952.0,18026.0,17715.0,17744.0,744628
2024-02-20 05:00:00,17729.25,17807.5,17452.5,17607.25,889292
2024-02-21 05:00:00,17573.0,17723.0,17372.75,17536.75,731450
2024-02-22 05:00:00,17702.5,18087.0,17676.0,18047.5,759232
2024-02-23 05:00:00,18023.25,18144.75,17946.0,17991.0,659725
2024-02-26 05:00:00,17961.5,18059.5,17922.0,17977.0,526169
2024-02-27 05:00:00,17951.0,18040.25,17908.75,18021.0,567818
2024-02-28 05:00:00,18017.5,18019.75,17846.25,17915.25,553731
2024-02-29 05:00:00,17870.0,18109.5,17826.0,18082.75,680147
2024-03-01 05:00:00,18075.0,18372.75,18029.5,18338.25,639153
2024-03-04 05:00:00,18336.0,18377.75,18234.25,18262.0,569342
2024-03-05 05:00:00,18246.0,18252.0,17832.5,17930.25,803857
2024-03-06 05:00:00,17981.0,18174.25,17942.5,18044.25,806131
2024-03-07 05:00:00,18041.0,18360.0,17915.75,18316.25,758499
2024-03-08 05:00:00,18279.0,18436.5,18012.5,18046.75,1048847
2024-03-11 04:00:00,18056.0,18068.25,17890.5,17971.0,472517
2024-03-12 04:00:00,18010.5,18241.75,17930.0,18227.75,281274
2024-03-13 04:00:00,18218.0,18256.5,18033.25,18078.5,179714
2024-03-14 04:00:00,18094.25,18177.75,17915.5,18024.5,110277
2024-03-15 04:00:00,18006.0,18074.75,17831.75,17854.75,705711
2024-03-18 04:00:00,18073.5,18381.0,18062.25,18231.5,656629
2024-03-19 04:00:00,18222.0,18289.25,18053.25,18270.0,660394
2024-03-20 04:00:00,18274.0,18545.0,18227.5,18479.75,618809
2024-03-21 04:00:00,18539.75,18709.0,18526.75,18561.75,606959
2024-03-22 04:00:00,18580.5,18626.0,18492.0,18574.75,511962
2024-03-25 04:00:00,18567.0,18601.25,18414.75,18513.5,456250
2024-03-26 04:00:00,18531.25,18619.0,18439.25,18449.0,516507
2024-03-27 04:00:00,18477.5,18571.75,18378.5,18503.75,605634
2024-03-28 04:00:00,18505.0,18538.75,18447.5,18475.0,515193
2024-04-01 04:00:00,18503.0,18612.0,18414.5,18497.25,572133
2024-04-02 04:00:00,18497.25,18511.0,18201.5,18330.0,618982
2024-04-03 04:00:00,18345.0,18451.75,18232.5,18373.25,597987
2024-04-04 04:00:00,18388.5,18568.0,18055.25,18076.75,777140
2024-04-05 04:00:00,18086.25,18408.25,18051.5,18300.75,809193
2024-04-08 04:00:00,18348.25,18376.0,18237.5,18295.0,524203
2024-04-09 04:00:00,18314.75,18407.25,18160.75,18359.75,696069
2024-04-10 04:00:00,18381.0,18474.25,18053.5,18196.75,880504
2024-04-11 04:00:00,18184.0,18518.75,18088.0,18485.0,728802
2024-04-12 04:00:00,18486.25,18507.75,18120.25,18179.25,787334
2024-04-15 04:00:00,18151.0,18350.75,17841.5,17876.25,797316
2024-04-16 04:00:00,17879.0,17988.0,17792.0,17881.25,766364
2024-04-17 04:00:00,17897.0,17968.5,17615.25,17658.5,844749
2024-04-18 04:00:00,17669.75,17770.75,17506.25,17547.25,756158
2024-04-19 04:00:00,17530.75,17553.25,17113.25,17180.75,1023135
2024-04-22 04:00:00,17228.25,17448.0,17148.5,17350.0,646130
2024-04-23 04:00:00,17352.25,17666.0,17286.25,17606.75,601826
2024-04-24 04:00:00,17682.0,17795.5,17481.75,17664.5,667402
2024-04-25 04:00:00,17450.0,17827.5,17308.25,17567.5,820011
2024-04-26 04:00:00,17808.25,17901.5,17668.25,17845.75,628227
