date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,46700.0,46800.0,45700.0,46100.0,167080,46100.0,46100.0,46100.0,46100.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,45900.0,46650.0,45500.0,46200.0,167037,46125.936723895895,46118.14058956916,46133.05785123967,46103.27868852459,6.3817663817666475,7.977207977208309,1.5954415954416619,50.0,50.0,167037.0,,,,,
2024-07-05,46000.0,46950.0,45300.0,46400.0,222341,46198.97110771746,46170.014037360976,46223.516153268225,46113.007256113946,22.796178602449363,30.090664848503366,7.294486246054003,50.0,50.0,389378.0,,,,,
2024-07-08,46100.0,48050.0,45200.0,47750.0,333452,46608.56903391957,46459.461335554624,46736.186052865254,46166.67914935611,117.97674454626068,154.76541692887986,36.788672382619175,50.0,50.0,722830.0,,,,,
2024-07-09,48500.0,48500.0,46900.0,47900.0,214755,46981.14673275244,46735.317637835105,47162.479587211514,46223.5093411805,180.68679769829353,262.6471695054861,81.96037180719256,50.0,50.0,937585.0,220933.0,,,,
2024-07-10,47600.0,47700.0,46400.0,46400.0,200779,46893.47184003878,46699.58714933605,46976.36271062639,46229.29592015818,114.04663082083826,224.5186603332404,110.47202951240214,38.69745171876623,43.01883976040177,736806.0,227672.8,,,,
2024-07-11,46450.0,46900.0,45650.0,45900.0,175960,46687.86918299539,46576.918090502695,46667.42950528837,46218.49933261202,33.38336810123029,152.20123963894002,118.81787153770973,28.86581050357178,34.49755347364072,560846.0,229457.4,,,,
2024-07-12,45900.0,50000.0,45500.0,48100.0,761143,47087.03412535387,46869.455046056326,47162.526136250905,46280.18787908375,120.39080696078389,269.3063802386896,148.9155732779057,68.83376622850017,68.00461127643663,1321989.0,337217.8,,,,
2024-07-15,49500.0,50600.0,48300.0,48500.0,395532,47514.01482895822,47192.64783691944,47657.176735944806,46352.96860435969,192.78372965746507,389.89523534973705,197.11150569227198,72.83519240941573,71.42310882631232,1717521.0,349633.8,,,,
2024-07-16,48000.0,48100.0,46650.0,46700.0,228494,47391.15304705381,47142.53900733647,47421.12708000619,46364.34668290527,111.38334660719826,336.34068895126984,224.95734234407158,40.67055646442439,44.84224865308935,1489027.0,352381.6,,,,
2024-07-17,47050.0,47900.0,46350.0,46750.0,203090,47297.553391058944,47106.57655040042,47255.80038206361,46376.99105395755,55.664254458675686,294.5376604174162,238.8734059587405,40.4427404922641,45.25972805415783,1692117.0,352843.8,,,,
2024-07-18,46750.0,46750.0,45500.0,46150.0,188635,47060.22390170911,46965.06010333576,46930.0593567611,46369.5487243196,-22.645766777169797,210.56619748727826,233.21196426444806,29.960109917957695,37.53534965267435,1503482.0,355378.8,,,,
2024-07-19,45650.0,47000.0,45150.0,46950.0,149848,47069.529229473126,46986.947455254834,46950.67703877311,46388.57991368617,-21.61386036358428,206.19463880996773,227.808499173552,49.70735314624858,50.77169528803088,1653330.0,233119.8,,,,
2024-07-22,46500.0,47000.0,45150.0,45650.0,346775,46736.87536486003,46768.70152378491,46534.70451057376,46364.364178811215,-104.87389670454994,96.7161282928646,201.59002499741453,28.247453970312222,34.81338070044636,1306555.0,223368.4,,,,
2024-07-23,46350.0,47900.0,46100.0,47150.0,245919,46851.593620818734,46852.008581935064,46722.864900437875,46390.1227303256,-57.67337355822076,129.49830804963858,187.17168160785934,56.95589156190111,55.03050414035333,1552474.0,226853.4,,,,
