date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,185500.0,194600.0,185500.0,191000.0,954589,191000.0,191000.0,191000.0,191000.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,195000.0,196600.0,188700.0,189000.0,527747,190481.2655220818,190637.18820861678,190338.84297520664,190934.4262295082,-127.63532763533294,-159.54415954416618,-31.908831908833236,0.0,0.0,-527747.0,,,,,
2024-07-05,189100.0,191800.0,185700.0,190100.0,357510,190343.35076434197,190524.88932080765,190215.62734785877,190907.06799247512,-130.4534865788417,-194.97569013238535,-64.52220355354366,22.774086962634897,40.59753954305799,-170237.0,,,,,
2024-07-08,188800.0,202000.0,187000.0,198600.0,964629,192438.13696086357,191971.05835531486,192939.23912301075,191159.29527141034,417.6571123865573,457.54918692965293,39.89207454309566,80.63759907403599,87.93557310489447,794392.0,,,,,
2024-07-09,199000.0,201000.0,192600.0,193800.0,508406,192905.49860358032,192344.2619563032,193362.83910065758,191245.8757543149,432.61946642055364,580.6664075687877,148.04694114823405,53.87601924000504,56.45294420698677,285986.0,662576.2,,,,
2024-07-10,193500.0,196200.0,189500.0,189500.0,402279,192163.76335059927,191882.92284549048,192239.37002451517,191188.63392630458,143.55328264180534,327.48854445049074,183.9352618086854,38.14597125852421,40.22310899415978,-116293.0,552114.2,,,,
2024-07-11,191000.0,195500.0,189000.0,189000.0,547890,191419.14976971698,191392.95660878895,191231.44874132832,191116.87543691753,-78.73883607534256,85.5117167145072,164.25055278984976,37.1614546615511,38.417858093191505,-664183.0,556142.8,,,,
2024-07-12,187500.0,195700.0,187100.0,195700.0,575362,192543.9923119161,192185.5878154003,192697.83370906845,191267.14181603497,212.14129696479972,429.42717399584944,217.28587703104972,69.4373425561434,63.15030297602347,-88821.0,599713.2,,,,
2024-07-15,195700.0,195700.0,188800.0,194400.0,535544,193123.27657420604,192630.48013813293,193348.95641609884,191369.8584778043,298.39461490832525,590.2791456664563,291.88453075813106,63.730647471211775,57.636007152730215,-624365.0,513896.2,,,,
2024-07-16,192800.0,193200.0,183000.0,183200.0,551866,190683.97952342054,190978.97040560222,190117.09785085145,191101.99426541725,-380.6047055052554,-183.87135112343822,196.7333543818172,25.77923902666032,29.10018455851258,-1176231.0,522588.2,,,,
2024-07-17,181500.0,184900.0,178400.0,179000.0,415403,187594.87716450557,188794.5919587405,186336.5281385503,190705.20756819047,-1056.0641660286408,-1123.3468531539838,-67.28268712534299,18.752378566638882,23.247197124070553,-1591634.0,525213.0,,,,
2024-07-18,178000.0,186500.0,177000.0,182200.0,547368,185908.09145940005,187498.13167041392,184621.0549216032,190426.34830365962,-1219.2385137819501,-1591.3308293527807,-372.0923155708306,35.04434111686105,34.728035757364594,-1044266.0,525108.6,,,,
2024-07-19,181900.0,194000.0,181700.0,194000.0,623889,187611.7934579127,188529.39087502263,187293.4718616104,190543.51721173635,-501.1578084893983,-998.5395761825785,-497.38176769318017,70.00243426827399,62.11093248485131,-420377.0,534814.0,,,,
2024-07-22,192700.0,192700.0,181100.0,181100.0,569845,185683.0353700205,187083.05756292207,185039.6857847025,190233.89369659743,-843.5205421156477,-1551.7824453377398,-708.2619032220921,39.31790639862702,39.47351403312951,-990222.0,541674.2,,,,
2024-07-23,182500.0,184300.0,178200.0,179000.0,393683,183581.5830690986,185463.87716401054,182706.50053372444,189865.56931310243,-1141.4481356556569,-2135.0720727916632,-993.6239371360064,35.4640015743327,36.57246046735499,-1383905.0,510037.6,,,,
2024-07-24,177500.0,184100.0,175600.0,178600.0,360681,181789.23134816744,184007.23400604434,180889.85584393828,189496.20638480398,-1284.8151678035208,-2599.6428968904074,-1314.8277290868866,34.068490508961446,35.74783005145342,-1744586.0,499093.2,,,,
2024-07-25,174600.0,184500.0,170600.0,180900.0,972513,180958.82780059866,183183.02285853864,180358.38771791817,189214.3635525153,-1148.555051711993,-2750.521543726878,-1601.966492014885,45.52183439924333,42.64914879689166,-772073.0,584122.2,,,,
2024-07-26,181300.0,182200.0,173600.0,174000.0,403715,178534.41789690385,181235.9201018863,177739.5243370975,188715.53196062957,-1428.677754657594,-3387.813685336878,-1959.1359306792838,24.771840577528423,29.75475557871765,-1175788.0,540087.4,,,,
2024-07-29,174200.0,178700.0,171700.0,178200.0,353401,177690.44161780976,180338.30609835108,177251.21002970194,188370.7604209368,-1243.464332960048,-3513.466346879344,-2270.002013919296,46.04744013166457,42.860651368740136,-822387.0,496798.6,,,,
2024-07-30,177100.0,190000.0,176100.0,187500.0,927485,179468.73605462743,181271.2043303927,180030.06706261227,188342.21089893888,-447.9922447991762,-2829.9923199182667,-2382.0000751190905,74.21156044379588,63.333015548993224,105098.0,603559.0,-147.6824973654398,-790.9549237172927,-623.3214539835445,-58510.742105263154
2024-07-31,185300.0,187300.0,179200.0,179900.0,626382,179004.47865740064,180712.68152868177,179624.8369090196,188065.41709897364,-389.21926206393846,-2868.524152699014,-2479.3048906350755,48.08483463630334,46.63419368347274,-521284.0,656699.2,-170.36417562265152,-850.9262039796444,-684.4982626426457,-47720.60526315788
2024-08-01,180000.0,186600.0,170800.0,185100.0,1167499,180018.1465259955,181191.4174526446,181081.67170177097,187968.19030884336,22.477223046544168,-2451.2083618268953,-2473.6855848734394,63.03786802283311,57.14348513823514,646215.0,695696.4,-191.05727673006157,-886.5686811200309,-729.0949420695076,-27800.87293233083
2024-08-02,180400.0,191200.0,179600.0,185900.0,724626,181096.26948681317,181763.88456996888,182454.2083249592,187900.3807905206,352.948561199928,-2032.4998833735299,-2385.448444573458,67.43250472392472,59.30965293764305,1370841.0,759878.6,-208.69055226189906,-893.2529895873522,-753.0824936038061,6350.197744360893
2024-08-05,184400.0,188900.0,164000.0,164900.0,1150660,176564.98636868774,178460.49475381058,176544.7755413097,187146.26994492975,-776.8438151809723,-3356.503213549673,-2579.6593983687007,19.97049368072274,26.205277465036346,220181.0,919330.4,-228.592969752139,-917.6889571241234,-788.2526370784525,36976.84210526316
2024-08-06,171000.0,183000.0,170000.0,181000.0,897262,177071.96549324214,178553.99656186413,177526.23704841014,186944.75289755498,-393.26970272995914,-3071.2465267811494,-2677.9768240511903,54.22077136382518,52.11536142114911,1117443.0,913285.8,-243.97251739739025,-903.6335719932815,-795.8777150066614,73257.52706766922
2024-08-07,177700.0,182600.0,174200.0,174200.0,581172,175771.69031752658,177419.16247220399,176050.1497251167,186526.89214681546,-541.7825428826159,-3355.2050026544603,-2813.4224597718444,43.29478640707247,43.89426240221925,536271.0,904243.8,-259.7574687559853,-896.0553315470404,-806.2617690564603,93633.66992481206
2024-08-08,171200.0,176800.0,165000.0,166400.0,842757,172732.0278373489,175046.02923806309,172422.35078224706,185866.99404364117,-1078.5947200144506,-4161.665859789908,-3083.071139775457,31.8499152250413,35.411053511784445,-306486.0,839295.4,-279.0924266397431,-919.0081634735438,-836.5340198527592,92338.23308270676
