date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA20,EMA60,VOL_MA5,VOL_MA20,TURNOVER_MA20,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,ATR,ATR_PCT,GAP_PCT,EXT_TEMA20_PCT,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-12-03,8605.0,8688.0,8601.0,8679.0,1122910,8679.0,8679.0,8679.0,8679.0,8679.0,,,,0.0,0.0,0.0,50.0,50.0,0.0,,,0.0,0.0,,,,
2024-12-04,8544.0,8636.0,8509.0,8596.0,1160476,8657.472519166395,8663.943310657596,8651.561983471074,8671.095238095239,8676.27868852459,,,,-5.296866096866142,-6.621082621082678,-1.3242165242165358,0.0,0.0,-1160476.0,,,-0.8660409790601564,-0.710051565630776,,,,
2024-12-05,8631.0,8631.0,8505.0,8531.0,932507,8623.050071729373,8639.210344455243,8609.870022539446,8657.752834467121,8671.515452835258,,,,-12.475244194447296,-16.918271767275655,-4.44302757282836,0.0,0.0,-2092983.0,,,-1.4640384969470288,-1.0674885448149984,,,,
2024-12-06,8566.0,8574.0,8378.0,8474.0,864507,8580.293397004625,8607.642448362563,8560.510279352506,8640.25256451787,8665.039536348855,,,,-19.917640206005192,-29.34007783033485,-9.422437624329657,0.0,0.0,-2957490.0,,,-1.9241632495860639,-1.238808419322024,,,,
2024-12-09,8351.0,8426.0,8277.0,8286.0,1142010,8496.932226339113,8546.484669943275,8462.45920236447,8606.514225039979,8652.612010566925,1044482.0,,,-35.45009246342486,-53.73505320361073,-18.284960740185873,0.0,0.0,-4099500.0,,,-3.7240887153531577,-2.4824515568719896,,,,
2024-12-10,8351.0,8452.0,8347.0,8448.0,834694,8471.4278250083,8523.446355455439,8444.54206149266,8591.41763217903,8645.903420056533,986838.8,,,-32.822018164097955,-59.31248344530832,-26.490465281210362,43.3338118025757,38.878281291979626,-3264806.0,,,-1.6693127760645798,-0.27655107842788906,,,,
2024-12-11,8430.0,8522.0,8408.0,8522.0,1297791,8470.707701507166,8517.327042639268,8457.125064330785,8584.80642911436,8641.841012841563,1014301.8,,,-24.49019204167473,-57.10320533330378,-32.613013291629045,59.03582977580311,50.23340062010731,-1967015.0,,,-0.7315998285221559,0.6055255393089265,,,,
2024-12-12,8561.0,8644.0,8531.0,8631.0,1036491,8499.369896240345,8532.133436976694,8503.726080632974,8589.205816817754,8641.485569797576,1035098.6,,,-10.73069653445755,-46.02638395970098,-35.29568742524343,76.3543304382849,63.085913546246125,-930524.0,,,0.48658961111880394,1.5487042612168267,,,,
2024-12-13,8627.0,8679.0,8583.0,8658.0,1092924,8530.686456986079,8550.048572142012,8548.05482441765,8595.757643787492,8642.027026525524,1080782.0,,,0.5008704956928725,-34.669599305627344,-35.170469801320216,85.22692290849291,66.29775077724084,162400.0,,,0.7241055273061736,1.492418501791959,,,,
2024-12-16,8728.0,8728.0,8627.0,8631.0,837931,8549.963075661643,8560.794988255642,8572.43836944978,8599.114058664874,8641.665484672227,1019966.2,,,6.111908196193866,-27.530584556077883,-33.64249275227175,81.6946479026289,61.29563929290723,-675531.0,,,0.3708049587154427,0.9478043778813117,,,,
