date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,56405.0,58058.0,54849.0,56016.0,2576205,56016.0,56016.0,56016.0,56016.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,57669.0,57961.0,54266.0,54363.0,2316634,55587.26595400064,55716.13605442177,55469.553719008254,55961.80327868852,-105.49059829059988,-131.86324786324985,-26.372649572649973,0.0,0.0,-2316634.0,,,,,
2024-07-05,54363.0,56405.0,54266.0,55141.0,1448904,55439.26339333918,55599.529640427594,55324.36063110442,55934.8916957807,-116.18949326709378,-171.6095161565172,-55.42002288942342,20.150809399477808,36.9022692930566,-867730.0,,,,,
2024-07-08,54460.0,55433.0,53585.0,53974.0,1150986,55018.05035379878,55288.216638129175,54835.31862577691,55870.600164771495,-190.77446804051496,-293.88810794006713,-103.11363989955217,16.134980342977812,21.912293496274245,-2018716.0,,,,,
2024-07-09,54655.0,55044.0,53682.0,54460.0,902317,54803.315793890215,55109.62058284063,54640.13121309398,55824.350979041286,-195.56672043517977,-347.57204044352693,-152.00532000834716,33.42174638584257,35.60826169988327,-1116399.0,1679009.2,,,,
2024-07-10,54655.0,55627.0,53779.0,54460.0,883562,54633.01387857532,54957.530654744194,54503.51381408825,55779.61816005633,-186.93267726364604,-385.67116658790474,-198.7384893242587,41.65685694933022,35.75997484203326,-1116399.0,1340480.6,,,,
2024-07-11,55530.0,57183.0,54460.0,54946.0,2212254,54625.86309707469,54916.681251883,54571.281875445115,55752.28641710366,-138.8944609524661,-372.35656551484135,-233.46210456237526,76.06042575697954,49.90907029498158,1095855.0,1319604.6,,,,
2024-07-12,53001.0,53488.0,50667.0,51640.0,2406928,53768.87043094922,54283.78021006798,53536.14208592551,55617.4573542478,-310.3567276060727,-621.4080140699662,-311.05128646389346,17.976550365104302,17.47227430795631,-1311073.0,1511209.4,,,,
2024-07-15,52029.0,52223.0,50959.0,51348.0,806362,52999.94231715245,53688.740761234636,52683.98595952227,55477.47514591181,-417.3555046976905,-832.7456673360066,-415.3901626383161,17.27794931489227,16.13712575356942,-2117435.0,1442284.6,,,,
2024-07-16,51348.0,52904.0,51056.0,52029.0,1218544,52559.32866839638,53303.95118283607,52294.49347954913,55364.41038702946,-415.2949381828014,-934.508835366818,-519.2138971840166,41.60882927765324,29.90701436743585,-898891.0,1505530.0,,,,
2024-07-17,52418.0,52418.0,48382.0,48479.0,2250325,51292.61687769811,52333.409589790215,50851.42848123491,55138.659226798976,-614.0521006704724,-1286.7790230221071,-672.7269223516347,14.26305421041532,14.285985901039325,-3149216.0,1778882.6,,,,
2024-07-18,45902.0,48090.0,44930.0,47604.0,2269695,50047.261084408456,51345.23917380672,49517.72617719861,54891.62121936294,-756.1469466631354,-1617.910605680554,-861.7636590174186,11.432942262645696,12.127544353905549,-5418911.0,1790370.8,,,,
2024-07-19,47653.0,49306.0,47166.0,47507.0,1218162,49026.83722770956,50484.79818318253,48529.58740582889,54649.50249085923,-803.9045494862921,-1866.6443458752838,-1062.7397963889916,10.802298326319445,11.668223530971602,-6637073.0,1552617.6,,,,
2024-07-22,47264.0,47312.0,44541.0,45902.0,1812602,47804.09844664347,49462.28029123681,47303.72302480193,54362.69913050319,-884.4346394068132,-2168.283095647508,-1283.848456240695,5.4890993276064535,8.077499942262662,-8449675.0,1753865.6,,,,
2024-07-23,47264.0,47701.0,44978.0,45562.0,1358170,46748.23381507781,48531.28237704779,46324.36842180697,54074.151618027674,-898.5392187727912,-2407.022479706684,-1508.4832609338928,3.6759288959538594,7.166431306913395,-9807845.0,1781790.8,,,,
2024-07-24,44784.0,48333.0,44784.0,46048.0,1847584,46047.416799747196,47830.4039722169,45804.226301725816,53810.999105961186,-815.508846693328,-2527.869319300553,-1712.360472607225,24.802232432415835,17.830545520406403,-7960261.0,1701242.6,,,,
2024-07-25,43908.0,44638.0,41720.0,41769.0,2531381,44403.91919711241,46464.26628506764,44049.54517004419,53416.179463142784,-978.1812166392492,-2935.0869934062866,-1956.9057767670374,6.199747163932443,7.57274667009105,-10491642.0,1753579.8,,,,
2024-07-26,41915.0,43276.0,40553.0,42741.0,1682537,43354.741639000444,45479.69311000835,43120.85630767734,53066.173579105314,-948.9917252326563,-3143.145433307858,-2194.153708075202,24.888880944975412,20.600887116259756,-8809105.0,1846454.8,,,,
2024-07-29,42790.0,43179.0,42207.0,42839.0,909205,42570.02592690772,44666.664337590126,42519.01148881432,52730.85641257727,-854.6907915586607,-3262.517197523528,-2407.8264059648673,28.34015743031651,22.218928566010504,-7899900.0,1665775.4,,,,
2024-07-30,41769.0,42207.0,40116.0,42109.0,1316317,41789.1500271986,43852.12001969139,41885.3794534163,52382.59882527965,-775.4156904986976,-3377.0960190882397,-2601.680328589542,22.771833443614028,19.13491602319398,-9216217.0,1657404.8,-190.18438169928226,-796.7819134293309,-668.0812193898511,-570226.5165413535
2024-07-31,42936.0,44152.0,42109.0,43908.0,2248048,41668.63054529025,43495.87743728729,42063.315712251795,52104.74312609015,-546.5520210119385,-3284.8703548544654,-2738.318333842527,62.10995962466029,45.51876150662009,-6968169.0,1737497.6,-209.672013212656,-833.6469130510192,-710.1135632424732,-536678.1533834587
2024-08-01,46680.0,47118.0,42887.0,42887.0,3031525,41356.627014473976,43022.78201325775,41905.89070495154,51802.52203998883,-414.6466559350047,-3256.626653761283,-2841.979997826278,47.757027702598116,37.786945343084184,-9999694.0,1837526.4,-228.45123723403293,-860.1635992456977,-744.8118550562083,-572537.2721804512
2024-08-02,40067.0,40796.0,37441.0,37539.0,3523426,39763.77656925291,41664.11857532646,40065.00650320668,51334.865579661324,-625.6215426040199,-3624.0069260813034,-2998.3853834772835,14.987684363750162,16.6537598586319,-13523120.0,2205704.2,-248.08162930795746,-890.3727172855182,-781.6730280220058,-624300.142857143
2024-08-05,35885.0,36663.0,30050.0,32336.0,3420095,37162.282079826655,39570.65377851354,37029.174715155765,50711.95195409866,-1029.767996895032,-4285.595379596074,-3255.827382701042,7.2569650338271,9.665757075274257,-16943215.0,2707882.2,-270.70858439289304,-940.8246138826868,-832.4008040385629,-724064.3150375941
2024-08-06,34038.0,35545.0,33357.0,34816.0,3026726,35736.007430985934,38241.22201714502,35661.61212265372,50190.77320150526,-1041.1464617853685,-4557.260459932753,-3516.113998147385,29.819621224589596,27.60416550000201,-13916489.0,3049964.0,-293.75383479983043,-988.1916289295633,-881.3049672038655,-743899.5781954888
2024-08-07,34281.0,37441.0,33940.0,36274.0,2808286,35013.81545618198,37386.37903772865,35200.165688907604,49734.48555555427,-868.5977512011868,-4601.861187148868,-3733.2634359476815,42.46067644571694,37.297935790124946,-11108203.0,3162011.6,-315.55224228698165,-1019.8920056434159,-919.4565799688262,-704368.2142857143
2024-08-08,34718.0,37295.0,34621.0,36955.0,1669386,34668.20871446544,36800.05742385059,35151.88615263434,49315.48602914265,-637.4189536352219,-4530.037127991709,-3892.618174356487,50.030785859558534,42.401592237646604,-9438817.0,2889583.8,-334.67748616121554,-1027.139974582336,-940.2064219741883,-591032.8834586466
2024-08-09,39143.0,39484.0,37539.0,38025.0,2201818,34730.543840266044,36515.60769073181,35532.89287124035,48945.306159334694,-355.33285001886634,-4336.78423688007,-3981.451386861204,62.315555449310864,50.60123643300737,-7236999.0,2625262.2,-351.54049475003853,-1017.0173945236673,-947.7699625895564,-468405.5240601504
2024-08-12,38511.0,40796.0,38122.0,39289.0,2011887,35173.85573195466,36525.746501573536,36288.18190200173,48628.70595738929,-42.93595066302305,-4035.1213251899826,-3992.1853745269595,76.10758036022833,59.934713734573,-5225112.0,2343620.6,-365.1032986938922,-984.073695116336,-937.8649663484117,-320857.7864661654
2024-08-13,40262.0,40505.0,37928.0,38219.0,1482157,35318.43694498344,36365.00528775848,36539.27019856093,48287.40412272079,123.23023893518666,-3838.1475758579763,-3961.377814793163,61.96862407323771,52.17820479941482,-6707269.0,2034706.8,-375.0281751326227,-929.2154621796338,-910.522884159547,-170570.3533834585
2024-08-14,39970.0,40116.0,38754.0,39143.0,1818411,35730.500893487646,36417.858803998235,37068.33690291673,47987.587594107,316.00270139255235,-3566.374438052473,-3882.3771394450255,76.1377424744772,60.6702591937588,-4888858.0,1836731.8,-382.1585221577341,-862.5451609243315,-872.2779935911734,-21102.664661654107
2024-08-16,42061.0,44103.0,41137.0,43763.0,3975391,37315.28625259882,37323.93745285665,39018.36215449651,47849.07652544775,750.4958605983197,-2944.257313697126,-3694.7531742954457,95.57206334020677,81.54035292170617,-913467.0,2297932.8,-384.41470767554915,-769.4969031784607,-812.7586540271274,151935.037593985
2024-08-19,43908.0,43957.0,42061.0,42207.0,1473608,38249.69222725713,37841.78471459465,39966.21832606657,47664.0904098593,917.8695966325181,-2547.416178504798,-3465.2857751373163,75.46056149144103,68.69622834307283,-2387075.0,2152290.8,-382.54618650684597,-660.0661174690947,-738.3427425745028,277911.95639097743
2024-08-20,43860.0,44881.0,43276.0,44395.0,2244968,39613.43180025259,38702.20131919565,41398.1148268344,47556.90711773277,1145.885368227744,-2032.9290648526367,-3178.8144330803807,86.42299829376711,77.7322120034128,-142107.0,2198907.0,-376.2329502673751,-534.2535065827145,-648.7681343596703,400948.840601504
2024-08-21,43228.0,44006.0,42498.0,42887.0,1319514,40361.66388565121,39184.60855045229,41957.21530001503,47403.79540895465,1161.4756393428866,-1726.9698839017728,-2888.4455232446594,66.39055574373566,65.03852677185665,-1461621.0,2166378.4,-366.4287638047687,-402.1066207696592,-550.8213914531178,471198.15187969955
2024-08-22,42741.0,43082.0,41185.0,41672.0,1303887,40674.71100823091,39392.67788442472,41960.57296222635,47215.86769062826,1059.1557919235288,-1564.5007833402487,-2623.6565752637775,50.941536844556,55.437626224250096,-2765508.0,2063473.6,-353.4336878560356,-266.9493004709462,-446.9135820073017,539442.1721804517
2024-08-23,42498.0,44200.0,41769.0,43471.0,2088965,41409.100699758914,39910.0255443484,42547.99179520332,47093.08514339454,1078.2283504340521,-1275.8711372212128,-2354.099487655265,68.26575456350801,66.7082941392315,-676543.0,1686188.4,-338.50915180652186,-139.17140418220757,-344.4973768592297,589747.7172932331
2024-08-26,43665.0,44103.0,41866.0,41866.0,1168701,41601.575253355564,40074.66591408775,42441.15673975142,46921.70530262751,952.6946740375424,-1163.231145108337,-2115.9258191458794,46.300665724035234,52.86488737283487,-1845244.0,1625207.0,-322.05089538096524,-20.706346395203408,-245.41905755308338,635164.3601503761
2024-08-27,41185.0,42109.0,40505.0,41866.0,945289,41763.397120660586,40225.687478304426,42350.62561206044,46755.94447303316,843.3612603957883,-1061.7242436511442,-1905.0855040469326,44.10800509428812,53.17241054656147,-1845244.0,1365271.2,-304.0153304640005,90.31654469716655,-148.89272329116494,684464.9
2024-08-28,41866.0,44638.0,41331.0,44395.0,2415831,42554.42124334587,40822.96646871033,43110.03450634795,46678.53645752388,909.3859766934593,-768.3530331801085,-1677.7390098735677,75.60485438755384,71.61633828108211,570587.0,1584534.6,-283.5995683657103,201.52313657872736,-50.016897404878705,738388.6127819553
2024-08-29,41331.0,41720.0,39581.0,39824.0,3648734,42015.824937001096,40515.08857678673,42149.80295603304,46453.79755727719,626.6825591604788,-894.3858109229695,-1521.0683700834484,29.14041447605966,37.82639391882434,-3078147.0,2053504.0,-262.2040198404709,301.98177254079894,43.390908124211286,760966.0503759399
2024-08-30,40164.0,40651.0,39435.0,40262.0,1450904,41686.98671359382,40336.248954810384,41574.91066347404,46250.78780130089,458.4572253669028,-947.9968383748201,-1406.4540637417228,32.139549381024366,40.76627880389813,-1627243.0,1925891.8,-239.98286006263663,392.2942512282084,131.25632342685535,750554.8466165413
