date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,157600.0,157600.0,147500.0,151900.0,195344,151900.0,151900.0,151900.0,151900.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,151900.0,155200.0,148600.0,153400.0,188610,152289.0508584386,152172.10884353743,152395.86776859502,151949.18032786885,95.72649572652298,119.65811965815374,23.93162393163075,50.0,50.0,188610.0,,,,,
2024-07-05,153400.0,154300.0,148100.0,148800.0,234935,151413.37559967293,151571.5257531584,151240.34560480842,151845.92851384036,-143.07156597751194,-154.90783354025916,-11.836267562747231,37.8171511194244,20.787207872078724,-46325.0,,,,,
2024-07-08,148200.0,153500.0,147400.0,152000.0,189788,151526.90193019222,151635.2522868558,151443.9928966601,151850.98003797675,-80.92108365475107,-112.98762213118607,-32.066538476435,58.7054542780033,52.94758503813097,143463.0,,,,,
2024-07-09,153000.0,154000.0,151100.0,152400.0,89502,151725.89702990075,151763.28917918538,151730.93057478685,151868.9806924693,-11.904938431416824,-46.94771151570603,-35.04277308428921,59.15823528536518,55.82431632532259,232965.0,179635.8,,,,
2024-07-10,151700.0,159700.0,151000.0,155300.0,289280,152642.31576292074,152399.9516767233,152903.80850560605,151981.47312878177,217.36782421854718,236.6670071888948,19.29918297034759,74.30252039115067,71.44468058982575,522245.0,198423.0,,,,
2024-07-11,155800.0,160500.0,154200.0,157300.0,231112,153909.49525112784,153310.23592820697,154429.32816158896,152155.85105898563,477.13615023525654,615.7193707644183,138.58322052916174,81.4060105301871,78.32751895005507,753357.0,206923.4,,,,
2024-07-12,158200.0,159100.0,153200.0,157600.0,154926,155017.13880354003,154145.9993546759,155644.6155953762,152334.34774557626,632.8235013852631,929.6125972607406,296.7890958754775,82.69490467793673,79.57732089902966,908283.0,190921.6,,,,
2024-07-15,158000.0,163000.0,157900.0,160000.0,227971,156532.94584019625,155296.85332187903,157316.18435368416,152585.68060637702,847.688286914358,1356.399454518425,508.7111676040671,90.52560772031687,86.02189776347086,1136254.0,198558.2,,,,
2024-07-16,161500.0,168300.0,160100.0,167500.0,323389,159699.35208979456,157642.13873882414,161003.22841986772,153074.67468485644,1411.91880714466,2273.609676534892,861.6908693902321,97.43593132025087,93.86402241639956,1459643.0,245335.6,,,,
2024-07-17,168600.0,175000.0,166500.0,171200.0,370509,163219.823052701,160322.59107569914,164909.32474781314,153668.94764600866,1919.8219342590814,3261.468287214084,1341.6463529550024,99.02240047842791,95.70559529482014,1830152.0,261581.4,,,,
2024-07-18,172900.0,175000.0,166600.0,169000.0,275858,165483.7277848456,162216.36189045903,167004.83304179928,154171.60510023788,1984.895142365497,3822.7652809118736,1837.8701385463767,78.45660607526096,80.7056606861302,1554294.0,270530.6,,,,
2024-07-19,168800.0,169300.0,162200.0,164300.0,244274,166057.8431728738,162975.51340194762,166919.8482454826,154503.68362154157,1604.9317541049463,3844.0348311775597,2239.1030770726134,46.399638916684744,56.27714784418043,1310020.0,288400.2,,,,
