date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,64300.0,64300.0,61800.0,62400.0,201938,62400.0,62400.0,62400.0,62400.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,62600.0,65000.0,62000.0,64000.0,165760,62814.987582334514,62690.24943310657,62928.925619834714,62452.45901639344,102.1082621082547,127.63532763531839,25.52706552706368,50.0,50.0,165760.0,,,,,
2024-07-05,65400.0,67000.0,63500.0,63600.0,146793,63049.81566322675,62867.16337328582,63186.175807663414,62490.08331093792,134.99526789554628,194.27115039649652,59.27588250095025,88.1798113586193,76.2979683972912,18967.0,,,,,
2024-07-08,62800.0,65300.0,62500.0,65200.0,90481,63654.24400620849,63308.88055902634,63900.990369510284,62578.93303844815,250.09938618592662,371.9001152333585,121.80072904743191,91.91060053757502,89.09536714414763,109448.0,,,,,
2024-07-09,64500.0,65700.0,63100.0,63300.0,101030,63651.330718338104,63342.94945203364,63794.345890432225,62602.57457817117,186.76979924891683,355.26297810857795,168.49317885966113,49.880456498213384,49.39543371016757,8418.0,141200.4,,,,
2024-07-10,62800.0,63100.0,59600.0,60000.0,199414,62786.83883681432,62771.80902701663,62615.70468078718,62517.244264132765,-74.84915119174016,74.9317398699859,149.78089106172607,19.25898964890675,24.966235653110203,-190996.0,140695.6,,,,
2024-07-11,60600.0,62300.0,58500.0,59000.0,183210,61816.30633327092,62097.729821712295,61409.64884025497,62401.92478006284,-300.0863123496195,-225.32699937529833,74.75931297432119,9.399677311833187,20.770055737162224,-374206.0,144185.6,,,,
2024-07-12,58800.0,59600.0,57500.0,58000.0,109280,60764.05291338349,61336.42934007577,60192.05282005554,62257.59937743782,-490.0288112357108,-537.7767010703174,-47.747889834606525,-0.0807340034144346,17.03557824595832,-483486.0,136683.0,,,,
2024-07-15,58000.0,58400.0,56700.0,58000.0,106811,59909.58543654568,60682.97085655856,59304.50332487888,62118.00595522674,-582.9576613232629,-776.4449664886852,-193.48730516542227,-11.70100834759019,16.613309198498783,-483486.0,139949.0,,,,
2024-07-16,57500.0,58300.0,57000.0,57900.0,63609,59195.792986640015,60105.577668404476,58634.176693400994,61979.71067800619,-615.2618398827609,-962.5646050188734,-347.3027651361125,-30.43312189527194,15.68539740988497,-547095.0,132464.8,,,,
2024-07-17,58400.0,59200.0,56200.0,56300.0,140046,58211.660258579985,59322.67233598444,57632.249718828156,61793.49065577648,-702.198399942059,-1225.0507650636864,-522.8523651216274,-26.352266132334904,9.817400519205094,-687141.0,120591.2,,,,
2024-07-18,53900.0,54700.0,52300.0,54000.0,294585,56828.40195810796,58237.14055741852,56157.166381508214,61537.966371980525,-861.8920326649181,-1600.2174059527752,-738.325373287857,-18.962230816888336,5.5664357845048755,-981726.0,142866.2,,,,
2024-07-19,53700.0,55200.0,53100.0,53700.0,77822,55642.46786042965,57255.67676083807,54999.229060442536,61280.98386798116,-929.2172309654135,-1899.846911994624,-970.6296810292105,-26.4695418946187,4.6573144482887585,-1059548.0,136574.6,,,,
2024-07-22,53900.0,53900.0,50300.0,51200.0,185748,54052.96907331509,55966.49050775668,53354.68493442527,60950.459806735875,-1073.3993722675493,-2312.378896363647,-1238.9795240960977,-16.841379901723073,2.381671210632547,-1245296.0,152362.0,,,,
2024-07-23,53000.0,54000.0,51000.0,51600.0,254814,52891.07505418773,54940.49912591223,52314.793910085595,60643.88735405601,-1070.6779710129586,-2577.326987862296,-1506.6490168493374,-8.18415347672098,9.168357810339643,-990482.0,190603.0,,,,
2024-07-24,51300.0,52600.0,50700.0,51400.0,90100,51928.94558442918,54034.04813872517,51528.92326040083,60340.80908015253,-1011.8732422478229,-2771.490569659116,-1759.617327411293,-13.770875648735597,8.384069672427898,-1080582.0,180613.8,,,,
2024-07-25,50000.0,50600.0,48000.0,48350.0,262657,50394.53623499331,52714.8531298149,49990.31817225149,59947.66779883606,-1100.5732894460862,-3135.333939218901,-2034.7606497728148,-7.2872014503525975,4.116592483136785,-1343239.0,174228.2,,,,
2024-07-26,48350.0,48800.0,47000.0,47400.0,128401,48940.5605991823,51423.04176760204,48592.06788440768,59536.268854611924,-1140.55114636499,-3460.449582729052,-2319.898436364062,-8.042891071078856,3.077234207803002,-1471640.0,184344.0,,,,
