date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA60,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,VOL_MA5,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2024-07-03,287000.0,287000.0,279000.0,280500.0,37119,280500.0,280500.0,280500.0,280500.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,
2024-07-04,286000.0,288500.0,276500.0,278500.0,61076,279981.2655220818,280137.18820861675,279838.84297520656,280434.4262295082,-127.63532763533294,-159.54415954416618,-31.908831908833236,0.0,0.0,-61076.0,,,,,
2024-07-05,279500.0,289500.0,279000.0,287000.0,62204,281762.66833263927,281367.29294892563,282161.9083395942,280649.6909432948,341.79722567191345,395.3377001810586,53.540474509145135,69.50093704449226,84.07913330193122,1128.0,,,,,
2024-07-08,288000.0,290000.0,278000.0,280000.0,55298,281403.17159149604,281155.49848057143,281562.90553923906,280628.3896008917,170.89911529238336,267.16436862462433,96.26525333224097,40.702477087215705,45.21703547483395,-54170.0,,,,,
2024-07-09,282500.0,287500.0,281500.0,283500.0,36663,282010.9770675067,281606.5647005302,282267.2786881174,280722.5407615182,277.30886795467137,442.9013382755802,165.59247032090883,56.14551624332553,57.40980480842408,-17507.0,50472.0,,,,
2024-07-10,283000.0,303000.0,281500.0,302000.0,121228,287300.69551172614,285348.98793545767,288895.2548063544,281420.1623758946,1508.5845560182065,2051.323165343667,542.7386093254605,85.37190535270722,82.84967296445424,103721.0,67293.8,,,,
2024-07-11,305500.0,310000.0,299500.0,304000.0,109277,292127.7708215123,288926.35491066624,294426.5361811624,282160.48492094723,2323.929091611947,3447.6499738403945,1123.7208822284474,88.67211719076143,84.28072998170742,212998.0,76934.0,,,,
2024-07-12,301500.0,309000.0,298500.0,306500.0,54488,296680.09381526784,292445.0035691869,299272.2192112021,282958.501808785,2862.446458340818,4701.77895515447,1839.3324968136521,92.602634633269,86.10532485328046,267486.0,75390.8,,,,
2024-07-15,310000.0,311000.0,303000.0,304000.0,45036,299688.2730758735,294999.31683777925,301928.51217474265,283648.38699538226,2873.6115348566955,5431.346915384522,2557.7353805278262,80.19550889169113,76.20652950463854,222450.0,73338.4,,,,
2024-07-16,303500.0,305000.0,295500.0,299000.0,39702,300767.7493502158,296264.8719910916,302122.2781362948,284151.71856930415,2387.5634191144018,5542.189654420828,3154.6262353064267,55.31635708320486,58.672498304165174,182748.0,73946.2,,,,
2024-07-17,301000.0,306500.0,297500.0,304500.0,38281,302985.66940186854,298323.38882188837,303966.95524654724,284818.87533752364,2279.994882567422,6004.619838515704,3724.624955948282,70.58184942854882,68.40577627410687,221029.0,57356.8,,,,
2024-07-18,307000.0,309000.0,302500.0,307000.0,38084,305353.60256022343,300518.0169865825,306045.8893369957,285546.1253264573,2218.639373340632,6497.9241726240725,4279.28479928344,77.1482571835448,72.20860057098548,259113.0,43118.2,,,,
2024-07-19,304000.0,306000.0,298500.0,303000.0,20682,306151.54099371226,301647.6965773041,306146.79928723,286118.38351247506,1769.5941087905221,6491.277435271593,4721.683326481071,53.56806228829875,57.47873398339274,238431.0,36357.0,,,,
2024-07-22,303000.0,304000.0,297000.0,300500.0,21168,306050.75146951724,302131.19668147934,305283.87787251966,286589.9119219021,1192.7853439828023,6212.665006459574,5019.879662476772,39.312039084115284,48.84622862671997,217263.0,31583.4,,,,
2024-07-23,300000.0,304000.0,297000.0,297500.0,35944,305088.71642693324,301967.9738943621,303556.339475151,286947.61972774134,531.5067300030487,5684.263074980583,5152.756344977534,23.50157290096945,39.18759975274204,181319.0,30831.8,,,,
2024-07-24,297500.0,306500.0,296500.0,306000.0,41119,306413.0486803224,303335.7849562063,305009.59593723796,287572.28793338913,584.6410912237116,5883.557709007175,5298.916617783463,65.4576508501259,62.65805027727325,222438.0,31399.4,,,,
2024-07-25,303000.0,313500.0,302500.0,305000.0,83563,307149.25292181614,304298.22634736483,305684.59915773466,288143.6883290157,475.1699522298004,5892.879058070714,5417.709105840913,59.802025828945425,58.939226941625634,138875.0,40495.2,,,,
2024-07-26,309500.0,313500.0,302000.0,304000.0,59833,307403.76962870685,304911.0345941194,305783.25092822465,288663.5674001955,268.436485453718,5753.254712658061,5484.818227204343,51.642692340695504,54.50028877874877,79042.0,48325.4,,,,
