date,open,high,low,close,volume,TEMA20,DEMA20,DEMA10,EMA20,EMA60,VOL_MA5,VOL_MA20,TURNOVER_MA20,MACD_OSC,MACD_LINE,MACD_SIGNAL,RSI_TEMA,RSI_DEMA,OBV,ATR,ATR_PCT,GAP_PCT,EXT_TEMA20_PCT,EMA60_SLOPE,TEMA20_SLOPE,DEMA20_SLOPE,OBV_SLOPE20
2025-08-01,89100.0,99400.0,85500.0,92400.0,14738911,92400.0,92400.0,92400.0,92400.0,92400.0,,,,0.0,0.0,0.0,50.0,50.0,0.0,,,0.0,0.0,,,,
2025-08-04,94700.0,95000.0,77500.0,79900.0,2358471,89157.90951301155,90132.42630385488,88267.76859504133,91209.52380952382,91990.16393442622,,,,-797.720797720796,-997.150997150995,-199.430199430199,0.0,0.0,-2358471.0,,,-12.399498799206443,-10.383722054026467,,,,
2025-08-05,81100.0,103800.0,80600.0,103800.0,5095928,92711.66952041589,92518.99362919774,93125.7700976709,92408.61678004537,92377.3716742811,,,,271.16143537796336,139.5215947922552,-131.63984058570816,50.621845596736236,70.37790086237116,2737457.0,,,12.327187243878846,11.960015968801386,,,,
2025-08-06,106500.0,112700.0,99900.0,107700.0,3420820,96639.38026997868,95282.42861770562,98019.94399289663,93864.93899146962,92879.75293086204,,,,1176.9904050664081,1339.5981657473021,162.60776068089388,60.83780827673998,74.1909866984316,6158277.0,,,14.739327758778709,11.445251096521503,,,,
2025-08-07,105500.0,116000.0,103500.0,108700.0,2592543,100100.7346175771,97838.59713557528,101946.78952629912,95277.80194466299,93398.44955607968,5641334.6,,,1745.3818724283979,2344.335101216391,598.9532287879933,70.37651993643618,75.33321139602164,8750820.0,,,14.087434618960426,8.590611662617032,,,,
2025-08-08,108300.0,109400.0,100000.0,100500.0,1094344,100775.21669824456,98542.04939500532,102088.0071304347,95775.15414040937,93631.28727555247,2912421.2,,,1481.3774451772147,2450.675035259512,969.2975900822971,53.990318474668555,54.0006970590526,7656476.0,,,4.9332688649750045,-0.27309958466142925,,,,
2025-08-11,102000.0,102200.0,92000.0,92600.0,1042678,99237.0720233238,97702.5438804344,99518.47487765156,95472.75850798943,93597.47457799337,2649262.6,,,725.2518859897939,1875.8624475695397,1150.6105615797458,40.09773378626116,39.96934372432728,6613798.0,,,-3.0089824080541616,-6.6880973894149935,,,,
2025-08-12,96300.0,98700.0,92500.0,94200.0,922918,98356.31841313842,97259.29747163203,98098.59048107274,95351.54341199044,93617.22950986243,1814660.6,,,304.9264970424906,1531.7686828828591,1226.8421858403685,51.61179646667882,43.29386885017634,7536716.0,,,-1.2076819847738673,-4.225776727103703,,,,
2025-08-13,95300.0,96400.0,88500.0,89700.0,740843,96439.93718365913,96052.38331411687,95531.60702613738,94813.30118227706,93488.7957554407,1278665.2,,,-272.87443774005624,885.7491386652982,1158.6235764053545,40.415854858516994,35.12505873904185,6795873.0,,,-5.393020935371529,-6.988740744224742,,,,
2025-08-14,89700.0,90700.0,86400.0,88400.0,631705,94514.85026709968,94770.96484672584,93190.68067940752,94202.51059348877,93321.94999296723,886497.6,,,-714.2502538148183,265.8107591368316,980.0610129516499,40.47770683322938,32.337858251112536,6164168.0,,,-6.1596135357031905,-6.469724334132754,,,,
2025-08-18,85500.0,87300.0,83500.0,83700.0,495019,91712.11400408616,92811.60900519509,89911.52566450878,93202.27148934698,93006.476222706,766632.6,,,-1262.331935033336,-597.8539058400202,664.4780291933159,21.075949261571296,24.36464230413813,5669149.0,,,-10.195321785084488,-8.736156712873488,,,,
2025-08-19,86000.0,91200.0,84000.0,84800.0,1199580,89708.42233438979,91324.59337069764,87874.68550860108,92402.05515702823,92737.41142851891,798013.0,,,-1475.5438779304293,-1179.9518182197207,295.59205971070855,40.08515038404771,28.22613313779084,6868729.0,,,-8.227149433104364,-5.471528989879626,,,,
2025-08-20,85500.0,86500.0,79100.0,82500.0,453823,87489.53259979062,89630.91759397116,85649.20786675866,91459.00228493029,92401.75859479698,704194.0,,,-1681.3060280002696,-1806.0404752896284,-124.73444728935883,21.058479998748666,23.116631850762317,6414906.0,,,-9.79564839010546,-5.703005207050971,,,,
2025-08-21,84200.0,97600.0,83500.0,91400.0,2403288,88009.79610883676,89794.31753552641,86997.4680282771,91453.38301969884,92368.91405070528,1036683.0,,,-1153.0225290510814,-1566.0126086032105,-412.9900795521292,97.89599633181257,55.70263671624508,8818194.0,10964.285714285714,11.995936230071896,-0.058371837034554286,3.8520756109589938,,,,
